model_name,preprocessing_method,seed,cityscapes_mIoU,cityscapes_mAcc,cityscapes_aAcc,acdc_rain_mIoU,acdc_rain_mAcc,acdc_rain_aAcc,acdc_night_mIoU,acdc_night_mAcc,acdc_night_aAcc,acdc_snow_mIoU,acdc_snow_mAcc,acdc_snow_aAcc,acdc_fog_mIoU,acdc_fog_mAcc,acdc_fog_aAcc,acdc_mean_mIoU,acdc_mean_mAcc,acdc_mean_aAcc,dark_zurich_mIoU,dark_zurich_mAcc,dark_zurich_aAcc
SegFormer-MIT-B0-Cityscapes-512x1024,baseline,0,56.33,65.65,92.25,29.7,42.81,79.44,9.58,19.07,39.26,23.24,32.19,68.42,38.16,55.19,81.53,25.17,37.315,67.1625,8.17,17.74,33.73
SegFormer-MIT-B0-Cityscapes-512x1024,color_opponency,0,56.11,66.53,91.83,22.98,36.66,64.29,13.2,22.98,45.54,17.45,26.91,53.9,29.99,42.85,70.67,20.905,32.35,58.6,12.14,22.18,40.89
SegFormer-MIT-B0-Cityscapes-512x1024,single_color,0,54.68,65.15,91.48,23.79,39.85,68.61,12.96,26.0,43.13,19.05,31.73,61.84,29.28,45.04,74.39,21.27,35.655,61.9925,10.96,24.32,38.52
SegFormer-MIT-B0-Cityscapes-512x1024,greyscale,0,50.95,59.69,90.2,21.51,33.58,64.88,18.07,29.29,54.6,17.3,27.49,52.97,31.36,44.22,74.19,22.06,33.645,61.66,16.6,29.16,49.81
SegFormer-MIT-B0-Cityscapes-512x1024,baseline,2,56.5,65.31,91.32,25.97,39.62,74.96,8.66,19.14,34.79,22.49,31.69,70.77,33.94,48.2,80.05,22.765,34.6625,65.1425,7.44,19.26,31.83
SegFormer-MIT-B0-Cityscapes-512x1024,color_opponency,2,54.25,63.44,91.39,26.08,40.09,68.99,13.44,22.95,43.63,18.21,27.56,57.86,33.47,46.41,74.99,22.8,34.2525,61.3675,12.03,21.84,41.2
SegFormer-MIT-B0-Cityscapes-512x1024,single_color,2,54.58,66.48,90.84,24.64,43.26,72.44,11.22,23.64,37.38,20.49,34.65,66.01,32.66,48.25,79.02,22.2525,37.45,63.7125,10.09,22.24,33.61
SegFormer-MIT-B0-Cityscapes-512x1024,greyscale,2,50.88,61.78,89.93,20.25,39.3,59.28,12.26,23.48,38.05,17.33,29.83,55.33,26.68,40.99,68.0,19.13,33.4,55.165,10.79,22.64,32.24
SegFormer-MIT-B0-Cityscapes-512x1024,baseline,1,55.55,65.15,91.65,23.8,36.24,72.89,7.83,15.77,34.73,21.02,29.44,65.32,35.46,47.56,80.91,22.0275,32.2525,63.4625,6.76,15.05,32.0
SegFormer-MIT-B0-Cityscapes-512x1024,color_opponency,1,55.99,66.5,91.88,22.38,37.47,64.48,12.76,25.26,42.47,16.88,26.06,56.23,29.66,44.6,72.27,20.42,33.3475,58.8625,11.22,23.59,37.5
SegFormer-MIT-B0-Cityscapes-512x1024,single_color,1,55.22,65.55,91.05,23.33,39.23,64.7,13.05,25.26,40.25,17.04,27.11,54.05,30.26,45.1,72.93,20.92,34.175,57.9825,11.64,23.72,38.51
SegFormer-MIT-B0-Cityscapes-512x1024,greyscale,1,53.05,63.53,90.91,23.12,37.83,66.48,15.03,28.12,48.07,18.31,28.89,51.6,29.31,45.73,73.37,21.4425,35.1425,59.88,13.16,26.85,41.86
