Architecture,Preprocessing,Sparsity,mIoU,mIoU_var,mAcc,mAcc_var,aAcc,aAcc_var
Deeplabv3+,baseline,-,8.01,0.45,18.14,2.24,31.94,2.2
Deeplabv3+,baseline,40,12.99,1.08,20.03,2.42,47.38,3.81
Deeplabv3+,baseline,50,10.24,1.35,18.17,2.25,42.60,4.08
Deeplabv3+,baseline,60,10.37,1.91,17.92,2.65,42.16,10.41
Deeplabv3+,baseline,70,13.44,1.63,23.68,1.11,51.01,5.20
Deeplabv3+,baseline,80,17.69,2.58,29.01,2.92,55.15,4.11
Deeplabv3+,baseline,90,8.99,1.60,17.82,1.81,38.86,4.17
Deeplabv3+,grayscale,-,19.76,0.53,34.13,1.05,58.9,1.33
Deeplabv3+,color-opponency,-,18.05,1.55,31.73,2.54,53.51,3.2
Deeplabv3+,single-color,-,19.75,1.99,32.24,1.17,54.79,2.95
Deeplabv3+,grayscale,percent_90%,16.35,1.89,26.35,1.95,47.75,2.43
Deeplabv3+,color-opponency,percent_90%,20.81,0.32,32.21,0.61,55.78,1.76
Deeplabv3+,single-color,percent_90%,15.82,0.84,25.46,1.24,49.29,1.00
Deeplabv3+,grayscale,percent_80%,17.52,1.48,26.65,1.79,50.97,2.71
Deeplabv3+,color-opponency,percent_80%,21.61,0.48,33.73,0.44,57.92,0.79
Deeplabv3+,single-color,percent_80%,19.30,0.77,30.72,0.90,54.56,1.18
Deeplabv3+,grayscale,percent_70%,19.40,1.33,31.40,2.27,56.10,2.09
Deeplabv3+,color-opponency,percent_70%,19.22,1.01,32.11,1.34,56.58,0.73
Deeplabv3+,single-color,percent_70%,19.64,1.52,31.18,1.17,54.54,3.43
Deeplabv3+,grayscale,percent_60%,20.98,0.40,32.72,1.59,57.80,0.97
Deeplabv3+,color-opponency,percent_60%,20.15,1.24,33.06,3.39,58.75,0.49
Deeplabv3+,single-color,percent_60%,19.72,1.15,33.21,0.67,57.51,0.64
Deeplabv3+,grayscale,percent_50%,21.64,1.10,34.38,1.46,59.34,2.44
Deeplabv3+,color-opponency,percent_50%,20.04,0.98,32.63,1.86,57.94,0.92
Deeplabv3+,single-color,percent_50%,18.96,0.72,31.29,1.11,54.72,3.40
Deeplabv3+,grayscale,percent_40%,21.38,0.54,36.08,1.08,59.28,0.92
Deeplabv3+,color-opponency,percent_40%,19.98,0.28,32.59,0.85,56.45,1.19
Deeplabv3+,single-color,percent_40%,18.15,1.92,31.34,2.39,53.05,4.76
