Architecture,Preprocessing,Sparsity,mIoU,mIoU_var,mAcc,mAcc_var,aAcc,aAcc_var
Deeplabv3+,-,-,7.64,1.0,16.4,2.74,30.13,1.41
Deeplabv3+,grayscale,-,18.39,0.54,34.73,1.68,55.35,1.81
Deeplabv3+,color-opponency,-,17.64,1.7,32.32,2.85,50.68,4.61
Deeplabv3+,single-color,-,18.54,2.18,32.79,1.49,51.35,4.26
Deeplabv3+,grayscale,percent_90%,15.25,1.34,26.18,1.19,45.41,1.68
Deeplabv3+,color-opponency,percent_90%,19.46,0.63,33.18,0.48,51.55,1.53
Deeplabv3+,single-color,percent_90%,15.06,1.05,26.01,1.54,45.65,1.08
Deeplabv3+,grayscale,percent_80%,16.16,0.67,26.41,0.75,47.81,1.77
Deeplabv3+,color-opponency,percent_80%,19.95,0.47,33.97,0.34,54.24,0.73
Deeplabv3+,single-color,percent_80%,18.53,0.61,31.8,1.46,51.14,1.17
Deeplabv3+,grayscale,percent_70%,17.81,1.22,31.31,1.85,51.87,2.5
Deeplabv3+,color-opponency,percent_70%,17.68,0.43,31.69,0.52,52.86,0.43
Deeplabv3+,single-color,percent_70%,18.83,1.4,32.65,1.93,51.47,3.17
Deeplabv3+,grayscale,percent_60%,20.01,0.49,33.19,1.3,53.62,1.39
Deeplabv3+,color-opponency,percent_60%,19.58,1.31,33.11,3.22,56.08,0.83
Deeplabv3+,single-color,percent_60%,18.69,0.43,33.4,1.05,54.2,0.95
Deeplabv3+,grayscale,percent_50%,20.62,0.94,34.74,1.9,55.74,2.45
Deeplabv3+,color-opponency,percent_50%,19.4,1.04,33.43,1.54,54.35,1.05
Deeplabv3+,single-color,percent_50%,18.2,0.56,31.88,1.11,51.38,3.19
Deeplabv3+,grayscale,percent_40%,20.66,0.51,36.33,1.31,56.14,1.06
Deeplabv3+,color-opponency,percent_40%,18.81,0.48,32.57,1.08,52.77,1.23
Deeplabv3+,single-color,percent_40%,17.46,1.98,32.2,2.62,48.79,4.69
