Architecture,Preprocessing,Sparsity,mIoU,mIoU_var,mAcc,mAcc_var,aAcc,aAcc_var
Deeplabv3+,baseline,0,66.68,0.44,76.58,0.60,94.68,0.05
Deeplabv3+,baseline,40,62.77,1.19,74.36,0.57,93.08,0.16
Deeplabv3+,baseline,50,58.56,2.58,70.48,0.77,92.03,1.09
Deeplabv3+,baseline,60,57.19,1.67,69.26,1.34,91.58,0.51
Deeplabv3+,baseline,70,52.91,2.60,63.29,1.94,90.83,0.53
Deeplabv3+,baseline,80,49.44,1.34,60.29,1.27,89.45,0.23
Deeplabv3+,baseline,90,38.60,1.10,48.03,1.54,84.61,0.36
Deeplabv3+,grayscale,-,66.53,1.11,77.86,0.63,94.35,0.35
Deeplabv3+,color-opponency,-,66.64,1.39,75.80,1.46,94.88,0.15
Deeplabv3+,single-color,-,66.08,3.05,76.33,3.03,94.90,0.16
Deeplabv3+,grayscale,percent_90%,51.13,0.20,62.14,0.55,89.06,0.23
Deeplabv3+,color-opponency,percent_90%,60.89,0.80,71.16,1.17,93.17,0.42
Deeplabv3+,single-color,percent_90%,53.42,2.35,63.05,3.27,90.99,0.68
Deeplabv3+,grayscale,percent_80%,57.32,3.98,67.75,3.99,91.76,0.90
Deeplabv3+,color-opponency,percent_80%,64.98,0.32,75.37,0.81,94.20,0.14
Deeplabv3+,single-color,percent_80%,59.84,3.22,70.17,3.32,93.49,0.29
Deeplabv3+,grayscale,percent_70%,61.52,0.93,71.76,0.71,93.25,0.40
Deeplabv3+,color-opponency,percent_70%,65.90,0.79,76.43,0.68,94.53,0.18
Deeplabv3+,single-color,percent_70%,63.09,1.82,73.29,1.79,94.06,0.49
Deeplabv3+,grayscale,percent_60%,63.14,2.62,73.47,2.20,94.02,0.18
Deeplabv3+,color-opponency,percent_60%,64.88,0.98,75.02,1.09,94.75,0.27
Deeplabv3+,single-color,percent_60%,64.90,2.54,74.79,3.41,94.68,0.17
Deeplabv3+,grayscale,percent_50%,64.75,2.07,75.20,2.18,94.27,0.22
Deeplabv3+,color-opponency,percent_50%,67.71,0.79,77.90,1.05,94.85,0.21
Deeplabv3+,single-color,percent_50%,63.40,3.44,73.92,3.55,94.69,0.24
Deeplabv3+,grayscale,percent_40%,64.89,1.39,75.69,1.08,94.49,0.18
Deeplabv3+,color-opponency,percent_40%,66.91,1.44,76.74,2.18,94.83,0.05
Deeplabv3+,single-color,percent_40%,66.42,2.94,76.23,2.96,94.95,0.17
