Architecture,Preprocessing,Sparsity,mIoU,mIoU_var,mAcc,mAcc_var,aAcc,aAcc_var
Deeplabv3+,-,-,66.68,0.44,76.58,0.60,94.68,0.05
Deeplabv3+,grayscale,-,66.53,1.11,77.86,0.63,94.35,0.35
Deeplabv3+,color-opponency,-,66.64,1.39,75.80,1.46,94.88,0.15
Deeplabv3+,single-color,-,66.08,3.05,76.33,3.03,94.90,0.16
Deeplabv3+,grayscale,percent_90%,51.13,0.16,62.14,0.45,89.06,0.18
Deeplabv3+,color-opponency,percent_90%,60.89,0.65,71.16,0.95,93.17,0.34
Deeplabv3+,single-color,percent_90%,53.42,1.92,63.05,2.67,90.99,0.55
Deeplabv3+,grayscale,percent_80%,57.32,3.25,67.75,3.26,91.76,0.74
Deeplabv3+,color-opponency,percent_80%,64.98,0.26,75.37,0.66,94.20,0.12
Deeplabv3+,single-color,percent_80%,59.84,2.63,70.17,2.71,93.49,0.23
Deeplabv3+,grayscale,percent_70%,61.52,0.76,71.76,0.58,93.25,0.33
Deeplabv3+,color-opponency,percent_70%,65.90,0.65,76.43,0.56,94.53,0.14
Deeplabv3+,single-color,percent_70%,63.09,1.49,73.29,1.46,94.06,0.40
Deeplabv3+,grayscale,percent_60%,63.14,2.14,73.47,1.80,94.02,0.15
Deeplabv3+,color-opponency,percent_60%,64.88,0.80,75.02,0.89,94.75,0.22
Deeplabv3+,single-color,percent_60%,64.90,2.08,74.79,2.79,94.68,0.14
Deeplabv3+,grayscale,percent_50%,64.75,1.69,75.20,1.78,94.27,0.18
Deeplabv3+,color-opponency,percent_50%,67.71,0.65,77.90,0.86,94.85,0.17
Deeplabv3+,single-color,percent_50%,63.40,2.81,73.92,2.89,94.69,0.20
Deeplabv3+,grayscale,percent_40%,64.89,1.13,75.69,0.88,94.49,0.15
Deeplabv3+,color-opponency,percent_40%,66.91,1.18,76.74,1.78,94.83,0.04
Deeplabv3+,single-color,percent_40%,66.42,2.40,76.23,2.42,94.95,0.14
Deeplabv3+,grayscale,threshold_0.02,63.68,0.92,74.67,0.76,93.60,0.26
Deeplabv3+,color-opponency,threshold_0.02,64.37,0.84,74.71,1.34,94.26,0.15
Deeplabv3+,single-color,threshold_0.02,64.20,0.79,73.87,1.52,94.69,0.10
Deeplabv3+,grayscale,threshold_0.01,63.11,1.25,73.82,1.68,94.28,0.15
Deeplabv3+,color-opponency,threshold_0.01,63.69,2.18,73.98,2.97,94.28,0.14
Deeplabv3+,single-color,threshold_0.01,67.51,0.69,78.08,0.41,95.00,0.07
Deeplabv3+,grayscale,threshold_0.0075,65.29,2.12,76.77,3.02,94.31,0.39
Deeplabv3+,color-opponency,threshold_0.0075,65.04,1.07,75.32,1.09,94.70,0.20
Deeplabv3+,single-color,threshold_0.0075,67.93,1.35,78.33,1.31,95.00,0.15
Deeplabv3+,grayscale,threshold_0.005,66.27,0.87,76.50,1.26,94.52,0.21
Deeplabv3+,color-opponency,threshold_0.005,67.37,1.11,77.08,0.93,94.87,0.15
Deeplabv3+,single-color,threshold_0.005,68.15,2.07,78.26,1.61,94.99,0.26
