Architecture,Preprocessing,Sparsity,mIoU,mIoU_var,mAcc,mAcc_var,aAcc,aAcc_var
deeplabv3plus,baseline,0%,66.69,0.44,76.58,60,94.68,0.05
deeplabv3plus,baseline,40,46.53,3.44,64.78,1.98,77.46,3.85
deeplabv3plus,baseline,50,36.99,4.02,54.64,4.1,65.06,8.11
deeplabv3plus,baseline,60,26.89,4.51,41.59,5.82,52.68,12.23
deeplabv3plus,baseline,70,16.07,4.45,26.48,6.17,38.71,14.95
deeplabv3plus,baseline,80,7.51,3.57,13.96,4.5,24.99,15.9
deeplabv3plus,baseline,90,3.84,2.48,8.44,2.78,17.29,13.35
deeplabv3plus,grayscale,0,5.16,4.15,11.26,5.03,24.34,12.9
deeplabv3plus,grayscale,40,5.17,4.11,11.25,5.03,24.4,13.03
deeplabv3plus,grayscale,50,5.15,4.06,11.22,5.01,24.42,13.17
deeplabv3plus,grayscale,60,5.12,3.96,11.14,4.94,24.45,13.33
deeplabv3plus,grayscale,70,5.04,3.77,10.97,4.75,24.58,13.5
deeplabv3plus,grayscale,80,4.84,3.42,10.51,4.22,24.98,13.42
deeplabv3plus,grayscale,90,4.54,2.56,9.68,2.83,26.22,11.78
deeplabv3plus,color-opponency,0,1.49,1.32,6.26,1.75,13.09,9.35
deeplabv3plus,color-opponency,40,1.5,1.32,6.27,1.76,13.08,9.35
deeplabv3plus,color-opponency,50,1.5,1.32,6.27,1.76,13.06,9.36
deeplabv3plus,color-opponency,60,1.5,1.33,6.27,1.79,13.04,9.37
deeplabv3plus,color-opponency,70,1.5,1.34,6.29,1.82,13.0,9.41
deeplabv3plus,color-opponency,80,1.5,1.37,6.31,1.87,12.98,9.47
deeplabv3plus,color-opponency,90,1.53,1.41,6.31,1.92,13.18,9.66
deeplabv3plus,single-color,0,5.28,4.24,11.45,5.14,24.32,12.96
deeplabv3plus,single-color,40,5.31,4.24,11.47,5.18,24.44,13.19
deeplabv3plus,single-color,50,5.32,4.21,11.47,5.18,24.52,13.38
deeplabv3plus,single-color,60,5.32,4.14,11.43,5.15,24.62,13.63
deeplabv3plus,single-color,70,5.28,3.98,11.3,5.04,24.78,13.9
deeplabv3plus,single-color,80,5.09,3.68,10.87,4.6,25.02,14.0
deeplabv3plus,single-color,90,4.69,3.01,9.95,3.47,25.69,13.21
mask2former,baseline,0,77.43,0.35,86.83,0.19,96.1,0.05
mask2former,baseline,40,58.81,2.95,77.28,1.12,88.27,1.51
mask2former,baseline,50,50.36,2.42,68.62,2.73,81.81,1.5
mask2former,baseline,60,39.41,1.06,54.93,0.47,71.38,2.53
mask2former,baseline,70,25.74,1.31,37.17,0.48,56.72,3.1
mask2former,baseline,80,13.83,0.41,21.74,1.26,43.1,2.35
mask2former,baseline,90,9.12,0.12,15.85,1.22,39.65,2.68
mask2former,grayscale,0,17.85,3.01,27.84,4.0,49.04,9.91
mask2former,grayscale,40,17.66,3.15,27.5,4.09,48.79,9.49
mask2former,grayscale,50,16.99,2.67,26.4,3.15,47.92,9.16
mask2former,grayscale,60,15.97,2.71,24.94,3.28,45.87,9.09
mask2former,grayscale,70,13.96,2.79,21.88,2.78,42.64,9.87
mask2former,grayscale,80,10.81,2.42,18.19,2.65,37.09,9.09
mask2former,grayscale,90,7.13,1.72,13.33,1.93,30.88,7.01
mask2former,color-opponency,0,9.03,1.77,16.81,1.59,37.15,13.45
mask2former,color-opponency,40,9.04,1.78,16.77,1.69,37.06,13.43
mask2former,color-opponency,50,9.02,1.73,16.7,1.66,36.85,13.33
mask2former,color-opponency,60,9.03,1.66,16.5,2.07,36.53,13.32
mask2former,color-opponency,70,9.08,1.64,16.44,1.96,36.14,13.51
mask2former,color-opponency,80,9.07,1.72,16.35,2.1,35.7,14.04
mask2former,color-opponency,90,8.32,1.8,15.35,2.14,34.21,13.41
mask2former,single-color,0,18.95,4.9,28.05,6.86,50.82,13.98
mask2former,single-color,40,18.66,4.93,27.34,7.05,49.99,14.34
mask2former,single-color,50,18.15,5.12,26.86,7.17,48.89,14.35
mask2former,single-color,60,17.11,5.06,25.91,6.34,47.0,13.96
mask2former,single-color,70,15.29,5.11,23.41,6.01,43.48,14.62
mask2former,single-color,80,12.11,4.48,20.01,5.45,37.81,13.75
mask2former,single-color,90,8.52,2.64,15.14,3.96,31.75,8.81
