Architecture,Preprocessing,Sparsity,mIoU,mIoU_var,mAcc,mAcc_var,aAcc,aAcc_var
deeplabv3plus,baseline,0%,66.69,0.19,76.58,0.36,94.68,0.0
deeplabv3plus,baseline,40%,46.53,11.82,64.78,3.91,77.46,14.8
deeplabv3plus,baseline,50%,36.99,16.12,54.64,16.81,65.06,65.8
deeplabv3plus,baseline,60%,26.89,20.33,41.59,33.82,52.68,149.64
deeplabv3plus,baseline,70%,16.07,19.77,26.48,38.11,38.71,223.6
deeplabv3plus,baseline,80%,7.51,12.73,13.96,20.23,24.99,252.86
deeplabv3plus,baseline,90%,3.84,6.17,8.44,7.71,17.29,178.11
deeplabv3plus,grayscale,0%,5.16,17.22,11.26,25.29,24.34,166.29
deeplabv3plus,grayscale,40%,5.17,16.91,11.25,25.26,24.4,169.85
deeplabv3plus,grayscale,50%,5.15,16.52,11.22,25.09,24.42,173.34
deeplabv3plus,grayscale,60%,5.12,15.7,11.14,24.42,24.45,177.65
deeplabv3plus,grayscale,70%,5.04,14.19,10.97,22.52,24.58,182.2
deeplabv3plus,grayscale,80%,4.84,11.68,10.51,17.79,24.98,180.02
deeplabv3plus,grayscale,90%,4.54,6.57,9.68,8.02,26.22,138.85
deeplabv3plus,color-opponency,0%,1.49,1.73,6.26,3.07,13.09,87.36
deeplabv3plus,color-opponency,40%,1.5,1.75,6.27,3.09,13.08,87.47
deeplabv3plus,color-opponency,50%,1.5,1.75,6.27,3.11,13.06,87.61
deeplabv3plus,color-opponency,60%,1.5,1.77,6.27,3.2,13.04,87.88
deeplabv3plus,color-opponency,70%,1.5,1.79,6.29,3.3,13.0,88.45
deeplabv3plus,color-opponency,80%,1.5,1.87,6.31,3.51,12.98,89.76
deeplabv3plus,color-opponency,90%,1.53,2.0,6.31,3.68,13.18,93.32
deeplabv3plus,single-color,0%,5.28,18.02,11.45,26.38,24.32,168.07
deeplabv3plus,single-color,40,5.31,17.94,11.47,26.79,24.44,174.09
deeplabv3plus,single-color,50,5.32,17.75,11.47,26.82,24.52,179.06
deeplabv3plus,single-color,60,5.32,17.11,11.43,26.55,24.62,185.84
deeplabv3plus,single-color,70,5.28,15.8,11.3,25.41,24.78,193.27
deeplabv3plus,single-color,80,5.09,13.52,10.87,21.15,25.02,196.1
deeplabv3plus,single-color,90,4.69,9.04,9.95,12.06,25.69,174.56
mask2former,baseline,0,77.43,0.12,86.83,0.04,96.1,0.0
mask2former,baseline,40,58.81,8.68,77.28,1.25,88.27,2.29
mask2former,baseline,50,50.36,5.87,68.62,7.43,81.81,2.25
mask2former,baseline,60,39.41,1.12,54.93,0.22,71.38,6.41
mask2former,baseline,70,25.74,1.73,37.17,0.23,56.72,9.61
mask2former,baseline,80,13.83,0.17,21.74,1.58,43.1,5.52
mask2former,baseline,90,9.12,0.01,15.85,1.48,39.65,7.16
mask2former,grayscale,0,17.85,9.08,27.84,16.03,49.04,98.18
mask2former,grayscale,40,17.66,9.92,27.5,16.77,48.79,90.14
mask2former,grayscale,50,16.99,7.12,26.4,9.95,47.92,83.97
mask2former,grayscale,60,15.97,7.32,24.94,10.74,45.87,82.72
mask2former,grayscale,70,13.96,7.76,21.88,7.75,42.64,97.37
mask2former,grayscale,80,10.81,5.84,18.19,7.01,37.09,82.62
mask2former,grayscale,90,7.13,2.96,13.33,3.71,30.88,49.12
mask2former,color-opponency,0,9.03,3.13,16.81,2.54,37.15,180.98
mask2former,color-opponency,40,9.04,3.18,16.77,2.87,37.06,180.49
mask2former,color-opponency,50,9.02,3.01,16.7,2.74,36.85,177.6
mask2former,color-opponency,60,9.03,2.76,16.5,4.27,36.53,177.33
mask2former,color-opponency,70,9.08,2.69,16.44,3.84,36.14,182.59
mask2former,color-opponency,80,9.07,2.94,16.35,4.43,35.7,197.22
mask2former,color-opponency,90,8.32,3.23,15.35,4.56,34.21,179.74
mask2former,single-color,0,18.95,24.04,28.05,47.0,50.82,195.31
mask2former,single-color,40,18.66,24.27,27.34,49.7,49.99,205.56
mask2former,single-color,50,18.15,26.23,26.86,51.4,48.89,206.04
mask2former,single-color,60,17.11,25.56,25.91,40.19,47.0,194.9
mask2former,single-color,70,15.29,26.09,23.41,36.17,43.48,213.62
mask2former,single-color,80,12.11,20.09,20.01,29.7,37.81,189.1
mask2former,single-color,90,8.52,6.94,15.14,15.71,31.75,77.62
