Architecture,Preprocessing,Sparsity,mIoU,mIoU_var,mAcc,mAcc_var,aAcc,aAcc_var
deeplabv3+,baseline,-,8.01,0.45,18.14,2.24,31.94,2.2
deeplabv3+,baseline,10,6.8,0.06,16.05,1.12,27.84,3.49
deeplabv3+,baseline,20,4.99,0.36,12.38,0.97,22.63,3.25
deeplabv3+,baseline,30,3.94,0.41,10.35,0.85,19.5,2.79
deeplabv3+,baseline,40,3.51,0.44,8.85,0.72,18.52,3.0
deeplabv3+,baseline,50,3.2,0.44,8.52,0.68,18.09,2.09
deeplabv3+,baseline,60,2.56,0.2,8.12,1.39,15.12,4.02
deeplabv3+,baseline,70,1.75,0.44,6.65,0.99,10.59,5.43
deeplabv3+,baseline,80,1.24,0.5,6.09,0.6,8.38,5.66
deeplabv3+,baseline,90,1.32,0.57,5.44,0.54,11.04,7.32
deeplabv3plus,grayscale,0,19.76,0.53,34.13,1.05,58.9,1.33
deeplabv3plus,grayscale,10,19.77,0.55,34.14,1.05,58.9,1.34
deeplabv3plus,grayscale,20,19.9,0.59,34.05,1.22,58.98,1.22
deeplabv3plus,grayscale,30,19.98,0.8,33.64,1.59,58.41,0.81
deeplabv3plus,grayscale,40,19.91,1.05,32.86,1.86,57.41,0.84
deeplabv3plus,grayscale,50,19.58,1.43,31.76,2.21,56.03,1.4
deeplabv3plus,grayscale,60,18.8,2.12,30.36,2.95,53.52,2.66
deeplabv3plus,grayscale,70,17.3,2.7,28.26,3.41,49.73,4.57
deeplabv3plus,grayscale,80,14.68,3.09,24.78,3.84,43.28,6.25
deeplabv3plus,grayscale,90,10.57,2.73,18.73,3.55,34.6,5.59
deeplabv3plus,color-opponency,0,18.05,1.55,31.73,2.54,53.51,3.2
deeplabv3plus,color-opponency,10,18.05,1.55,31.73,2.54,53.52,3.2
deeplabv3plus,color-opponency,20,18.03,1.56,31.72,2.56,53.5,3.23
deeplabv3plus,color-opponency,30,18.01,1.56,31.71,2.56,53.45,3.21
deeplabv3plus,color-opponency,40,17.98,1.45,31.66,2.5,53.31,2.92
deeplabv3plus,color-opponency,50,17.95,1.3,31.51,2.43,53.16,2.4
deeplabv3plus,color-opponency,60,18.01,1.01,31.35,2.18,52.88,1.78
deeplabv3plus,color-opponency,70,18.35,0.85,31.55,2.11,53.31,0.98
deeplabv3plus,color-opponency,80,18.64,1.21,31.06,2.32,54.36,3.06
deeplabv3plus,color-opponency,90,17.18,1.09,28.61,2.48,51.77,1.03
deeplabv3plus,single-color,0,19.75,1.99,32.24,1.17,54.79,2.95
deeplabv3plus,single-color,10,19.75,1.99,32.23,1.15,54.79,2.94
deeplabv3plus,single-color,20,19.75,1.98,32.15,1.14,54.82,2.89
deeplabv3plus,single-color,30,19.79,2.0,32.01,1.25,54.92,2.97
deeplabv3plus,single-color,40,19.81,1.88,31.85,1.25,54.65,3.02
deeplabv3plus,single-color,50,19.46,1.9,31.15,1.3,53.41,2.82
deeplabv3plus,single-color,60,18.87,2.04,30.13,1.65,51.66,3.29
deeplabv3plus,single-color,70,17.57,2.5,28.25,2.23,49.17,4.42
deeplabv3plus,single-color,80,15.64,2.9,25.85,2.36,44.35,6.42
deeplabv3plus,single-color,90,11.67,2.72,20.83,2.23,35.6,7.31
