Architecture,Preprocessing,Sparsity,mIoU,mIoU_var,mAcc,mAcc_var,aAcc,aAcc_var
deeplabv3+,baseline,-,7.64,1.0,16.4,2.74,30.13,1.4
deeplabv3+,baseline,10,6.72,0.67,14.72,2.1,26.16,2.63
deeplabv3+,baseline,20,4.94,0.34,11.0,1.3,20.83,2.89
deeplabv3+,baseline,30,4.0,0.33,9.02,0.83,18.18,2.69
deeplabv3+,baseline,40,3.43,0.34,8.14,0.64,17.1,2.27
deeplabv3+,baseline,50,2.93,0.57,7.57,0.98,15.59,1.33
deeplabv3+,baseline,60,2.29,0.25,6.43,0.71,12.57,2.75
deeplabv3+,baseline,70,1.64,0.31,5.27,0.39,9.64,4.5
deeplabv3+,baseline,80,1.24,0.29,4.15,1.15,8.4,4.82
deeplabv3+,baseline,90,1.4,0.43,4.02,1.59,11.81,7.06
deeplabv3plus,grayscale,0,18.39,0.54,34.73,1.68,55.35,1.81
deeplabv3plus,grayscale,10,18.4,0.56,34.73,1.7,55.35,1.83
deeplabv3plus,grayscale,20,18.59,0.64,34.78,1.95,55.4,1.66
deeplabv3plus,grayscale,30,18.98,1.0,34.69,2.48,54.95,1.06
deeplabv3plus,grayscale,40,19.08,1.35,34.03,2.79,53.86,0.98
deeplabv3plus,grayscale,50,18.91,1.83,32.93,3.28,52.36,1.44
deeplabv3plus,grayscale,60,18.35,2.61,31.62,4.06,49.88,2.55
deeplabv3plus,grayscale,70,17.04,3.3,29.42,4.69,46.76,3.99
deeplabv3plus,grayscale,80,14.59,3.63,26.0,5.14,41.51,5.29
deeplabv3plus,grayscale,90,11.03,3.3,20.16,4.75,33.85,4.96
deeplabv3plus,color-opponency,0,17.46,1.7,32.32,2.85,50.68,4.61
deeplabv3plus,color-opponency,10,17.46,1.71,32.32,2.85,50.68,4.61
deeplabv3plus,color-opponency,20,17.44,1.71,32.3,2.86,50.66,4.61
deeplabv3plus,color-opponency,30,17.39,1.71,32.23,2.87,50.6,4.62
deeplabv3plus,color-opponency,40,17.33,1.69,32.18,2.88,50.45,4.51
deeplabv3plus,color-opponency,50,17.31,1.62,32.16,2.87,50.32,4.33
deeplabv3plus,color-opponency,60,17.45,1.5,32.22,2.83,50.05,4.14
deeplabv3plus,color-opponency,70,18.06,1.19,33.05,2.42,50.52,3.42
deeplabv3plus,color-opponency,80,18.26,1.41,32.54,2.44,51.78,4.08
deeplabv3plus,color-opponency,90,17.04,1.23,29.55,1.89,49.72,2.05
deeplabv3plus,single-color,0,18.54,2.18,32.79,1.49,51.35,4.26
deeplabv3plus,single-color,10,18.57,2.18,32.83,1.5,51.36,4.25
deeplabv3plus,single-color,20,18.62,2.16,32.84,1.46,51.36,4.11
deeplabv3plus,single-color,30,18.8,2.09,32.88,1.31,51.38,4.12
deeplabv3plus,single-color,40,19.06,1.98,32.98,1.21,51.0,4.09
deeplabv3plus,single-color,50,18.9,1.82,32.45,0.81,49.73,3.77
deeplabv3plus,single-color,60,18.37,1.77,31.29,0.97,48.09,3.72
deeplabv3plus,single-color,70,17.32,2.09,29.47,1.76,46.18,4.06
deeplabv3plus,single-color,80,15.76,2.32,27.18,1.68,43.49,6.08
deeplabv3plus,single-color,90,12.3,2.34,22.36,1.99,36.99,7.95
