Architecture,Preprocessing,Sparsity,mIoU,mIoU_var,mAcc,mAcc_var,aAcc,aAcc_var
deeplabv3+,baseline,0%,66.69,0.44,76.58,0.6,94.68,0.05
deeplabv3+,baseline,10,65.06,0.68,75.57,0.47,94.12,0.06
deeplabv3+,baseline,20,60.94,0.02,74.07,0.35,92.06,0.13
deeplabv3+,baseline,30,53.71,1.73,70.61,0.4,87.0,1.61
deeplabv3+,baseline,40,46.53,3.44,64.78,1.98,77.46,3.85
deeplabv3+,baseline,50,36.99,4.02,54.64,4.1,65.06,8.11
deeplabv3+,baseline,60,26.89,4.51,41.59,5.82,52.68,12.23
deeplabv3+,baseline,70,16.07,4.45,26.48,6.17,38.71,14.95
deeplabv3+,baseline,80,7.51,3.57,13.96,4.5,24.99,15.9
deeplabv3+,baseline,90,3.84,2.48,8.44,2.78,17.29,13.35
deeplabv3plus,grayscale,0,66.53,1.11,77.86,0.63,94.35,0.35
deeplabv3plus,grayscale,10,66.53,1.11,77.86,0.62,94.35,0.34
deeplabv3plus,grayscale,20,66.52,1.08,77.83,0.6,94.34,0.34
deeplabv3plus,grayscale,30,66.4,1.08,77.65,0.68,94.28,0.34
deeplabv3plus,grayscale,40,65.77,1.16,76.97,0.87,93.97,0.38
deeplabv3plus,grayscale,50,64.06,1.78,75.39,1.38,92.88,0.7
deeplabv3plus,grayscale,60,60.6,2.5,72.31,2.32,89.86,1.63
deeplabv3plus,grayscale,70,54.84,2.95,66.66,3.48,84.4,2.7
deeplabv3plus,grayscale,80,45.21,5.07,56.75,6.0,76.02,4.51
deeplabv3plus,grayscale,90,26.01,7.17,36.31,8.01,59.13,8.21
deeplabv3plus,color-opponency,0,66.64,1.39,75.8,1.46,94.88,0.15
deeplabv3plus,color-opponency,10,66.64,1.38,75.8,1.45,94.88,0.15
deeplabv3plus,color-opponency,20,66.61,1.38,75.77,1.45,94.87,0.16
deeplabv3plus,color-opponency,30,66.49,1.38,75.65,1.48,94.81,0.17
deeplabv3plus,color-opponency,40,66.27,1.35,75.41,1.51,94.7,0.22
deeplabv3plus,color-opponency,50,65.73,1.21,74.94,1.47,94.44,0.31
deeplabv3plus,color-opponency,60,64.56,0.81,73.95,1.36,93.78,0.63
deeplabv3plus,color-opponency,70,62.89,0.63,72.47,1.46,92.93,0.99
deeplabv3plus,color-opponency,80,59.55,0.84,69.2,1.63,91.82,1.37
deeplabv3plus,color-opponency,90,48.04,2.05,59.18,2.91,83.64,4.83
deeplabv3plus,single-color,0,66.09,3.05,76.33,3.03,94.9,0.16
deeplabv3plus,single-color,10,66.09,3.04,76.34,3.02,94.9,0.16
deeplabv3plus,single-color,20,66.04,3.05,76.27,3.03,94.85,0.15
deeplabv3plus,single-color,30,65.86,3.14,76.1,3.08,94.71,0.16
deeplabv3plus,single-color,40,65.29,3.15,75.67,3.2,94.33,0.2
deeplabv3plus,single-color,50,63.68,3.24,74.5,3.45,93.2,0.56
deeplabv3plus,single-color,60,60.86,3.63,72.09,3.89,91.0,1.27
deeplabv3plus,single-color,70,56.42,4.5,67.9,4.62,87.55,2.06
deeplabv3plus,single-color,80,47.24,6.01,59.4,6.1,80.4,3.69
deeplabv3plus,single-color,90,27.99,6.2,40.36,7.18,61.46,7.79
