run; test_dataset; aAcc_mean; aAcc_std; mIoU_mean; mIoU_std; mAcc_mean; mAcc_std
train_deeplabv3plus_baseline_depth_0_channel_3_sparsity_0,4; acdc_fog; 62,3600; 5,1559; 30,3833; 0,8386; 42,4100; 2,0903
train_deeplabv3plus_baseline_depth_0_channel_3_sparsity_0,4; acdc_night; 47,3833; 3,8071; 12,9933; 1,0804; 20,0267; 2,4156
train_deeplabv3plus_baseline_depth_0_channel_3_sparsity_0,4; acdc_rain; 66,3533; 4,4242; 23,1533; 2,0427; 32,8467; 3,3710
train_deeplabv3plus_baseline_depth_0_channel_3_sparsity_0,4; acdc_snow; 54,6600; 4,2838; 22,1367; 0,7650; 33,2600; 1,6744
train_deeplabv3plus_baseline_depth_0_channel_3_sparsity_0,4; cityscapes; 93,0833; 0,1553; 62,7667; 1,1898; 74,3600; 0,5679
train_deeplabv3plus_baseline_depth_0_channel_3_sparsity_0,4; dark_zurich; 27,4933; 3,8894; 6,3733; 0,8900; 14,4633; 0,9704
train_deeplabv3plus_baseline_depth_0_channel_3_sparsity_0,5; acdc_fog; 53,7933; 2,1429; 21,9867; 1,1416; 34,1967; 2,7006
train_deeplabv3plus_baseline_depth_0_channel_3_sparsity_0,5; acdc_night; 42,6033; 4,0839; 10,2367; 1,3466; 18,1667; 2,2458
train_deeplabv3plus_baseline_depth_0_channel_3_sparsity_0,5; acdc_rain; 62,6233; 6,1641; 19,4533; 1,9260; 30,1333; 1,2009
train_deeplabv3plus_baseline_depth_0_channel_3_sparsity_0,5; acdc_snow; 49,2467; 1,8440; 20,2433; 0,9482; 31,6833; 1,2423
train_deeplabv3plus_baseline_depth_0_channel_3_sparsity_0,5; cityscapes; 92,0267; 1,0879; 58,5600; 2,5800; 70,4767; 0,7703
train_deeplabv3plus_baseline_depth_0_channel_3_sparsity_0,5; dark_zurich; 20,1333; 7,8702; 5,1833; 1,6636; 12,2000; 3,3450
train_deeplabv3plus_baseline_depth_0_channel_3_sparsity_0,6; acdc_fog; 59,5733; 11,0969; 20,3567; 6,9838; 31,2833; 5,9560
