run; test_dataset; aAcc; mIoU; mAcc
train_deeplabv3plus_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,8; acdc_night; 48,7900; 16,0000; 26,7500
train_deeplabv3plus_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,8; dark_zurich; 45,9800; 15,2700; 26,4400
train_deeplabv3plus_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,8; cityscapes; 90,7300; 52,7600; 63,1600
train_deeplabv3plus_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,8; acdc_rain; 69,7500; 27,2500; 37,3100
train_deeplabv3plus_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,8; acdc_snow; 63,2600; 24,2600; 36,0700
train_deeplabv3plus_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,8; acdc_fog; 68,7700; 34,0700; 44,1700
train_deeplabv3plus_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,7; acdc_night; 57,4100; 19,8100; 33,4500
train_deeplabv3plus_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,7; dark_zurich; 53,9000; 18,1400; 33,3500
train_deeplabv3plus_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,7; cityscapes; 92,8600; 62,6000; 72,5800
train_deeplabv3plus_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,7; acdc_rain; 83,7800; 35,3100; 43,6900
train_deeplabv3plus_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,7; acdc_snow; 75,5300; 31,0400; 40,1600
train_deeplabv3plus_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,7; acdc_fog; 82,8800; 43,2700; 53,2400
train_deeplabv3plus_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,9; acdc_night; 50,4000; 18,2200; 28,4800
train_deeplabv3plus_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,9; dark_zurich; 47,2700; 16,4800; 27,6500
train_deeplabv3plus_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,9; cityscapes; 89,2700; 51,1400; 62,0600
train_deeplabv3plus_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,9; acdc_rain; 83,0200; 31,7900; 39,6800
train_deeplabv3plus_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,9; acdc_snow; 76,9600; 29,5300; 38,5400
train_deeplabv3plus_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,9; acdc_fog; 84,7100; 38,8800; 47,9200
train_deeplabv3plus_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,6; acdc_night; 58,3000; 21,2500; 32,5100
train_deeplabv3plus_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,6; dark_zurich; 54,6400; 20,6100; 32,8000
train_deeplabv3plus_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,6; cityscapes; 93,8100; 60,1200; 70,9500
train_deeplabv3plus_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,6; acdc_rain; 83,5400; 36,4600; 47,9500
train_deeplabv3plus_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,6; acdc_snow; 75,5200; 33,6300; 45,6000
train_deeplabv3plus_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,6; acdc_fog; 82,1800; 46,2100; 56,3400
train_deeplabv3plus_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,5; acdc_night; 62,1400; 22,9100; 35,1100
train_deeplabv3plus_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,5; dark_zurich; 59,1900; 21,9500; 36,8500
train_deeplabv3plus_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,5; cityscapes; 94,2900; 63,4800; 73,8200
train_deeplabv3plus_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,5; acdc_rain; 86,9900; 39,3200; 51,7900
train_deeplabv3plus_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,5; acdc_snow; 80,2600; 36,1700; 48,5200
train_deeplabv3plus_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,5; acdc_fog; 89,6000; 50,8700; 60,8200
train_deeplabv3plus_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,4; acdc_night; 58,2300; 20,9800; 35,0000
train_deeplabv3plus_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,4; dark_zurich; 54,6500; 20,6800; 34,5600
train_deeplabv3plus_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,4; cityscapes; 94,5800; 63,9900; 75,1200
train_deeplabv3plus_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,4; acdc_rain; 85,7200; 36,8800; 48,9100
train_deeplabv3plus_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,4; acdc_snow; 82,6100; 36,0300; 47,7300
train_deeplabv3plus_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,4; acdc_fog; 90,1400; 52,1100; 61,9900
