run; test_dataset; aAcc_mean; aAcc_std; mIoU_mean; mIoU_std; mAcc_mean; mAcc_std
train_deeplabv3plus_bw_depth_5_channel_3_sparse_percent_based_0,4; acdc_fog; 88,3900; 2,3037; 50,4233; 1,6559; 61,5700; 0,5481
train_deeplabv3plus_bw_depth_5_channel_3_sparse_percent_based_0,4; acdc_night; 59,2833; 0,9201; 21,3800; 0,5444; 36,0767; 1,0800
train_deeplabv3plus_bw_depth_5_channel_3_sparse_percent_based_0,4; acdc_rain; 84,5133; 1,3662; 36,2533; 0,6513; 49,4700; 0,9355
train_deeplabv3plus_bw_depth_5_channel_3_sparse_percent_based_0,4; acdc_snow; 80,2167; 2,0756; 34,4400; 2,0696; 47,0233; 1,7224
train_deeplabv3plus_bw_depth_5_channel_3_sparse_percent_based_0,4; cityscapes; 94,4900; 0,1825; 64,8900; 1,3892; 75,6867; 1,0782
train_deeplabv3plus_bw_depth_5_channel_3_sparse_percent_based_0,4; dark_zurich; 56,1433; 1,2939; 20,6600; 0,6202; 36,3333; 1,6032
train_deeplabv3plus_bw_depth_5_channel_3_sparse_percent_based_0,5; acdc_fog; 87,6033; 3,2189; 50,8600; 2,8750; 61,1967; 0,5599
train_deeplabv3plus_bw_depth_5_channel_3_sparse_percent_based_0,5; acdc_night; 59,3367; 2,4433; 21,6400; 1,1049; 34,3833; 1,4623
train_deeplabv3plus_bw_depth_5_channel_3_sparse_percent_based_0,5; acdc_rain; 85,5200; 2,4174; 38,5000; 1,9630; 50,5100; 1,1566
train_deeplabv3plus_bw_depth_5_channel_3_sparse_percent_based_0,5; acdc_snow; 77,8800; 3,3968; 34,4800; 3,6695; 46,2100; 2,3885
train_deeplabv3plus_bw_depth_5_channel_3_sparse_percent_based_0,5; cityscapes; 94,2700; 0,2207; 64,7467; 2,0739; 75,2000; 2,1773
train_deeplabv3plus_bw_depth_5_channel_3_sparse_percent_based_0,5; dark_zurich; 55,7367; 2,9974; 20,6167; 1,1549; 34,7433; 2,3305
train_deeplabv3plus_bw_depth_5_channel_3_sparse_percent_based_0,6; acdc_fog; 83,8467; 4,0649; 47,3400; 2,4124; 57,1500; 2,3807
train_deeplabv3plus_bw_depth_5_channel_3_sparse_percent_based_0,6; acdc_night; 57,8033; 0,9660; 20,9800; 0,4004; 32,7200; 1,5855
train_deeplabv3plus_bw_depth_5_channel_3_sparse_percent_based_0,6; acdc_rain; 83,7600; 2,7466; 36,3700; 0,9084; 47,4900; 1,1137
train_deeplabv3plus_bw_depth_5_channel_3_sparse_percent_based_0,6; acdc_snow; 76,6433; 3,4356; 33,7600; 1,1207; 45,2867; 0,7136
train_deeplabv3plus_bw_depth_5_channel_3_sparse_percent_based_0,6; cityscapes; 94,0167; 0,1801; 63,1400; 2,6230; 73,4700; 2,1990
train_deeplabv3plus_bw_depth_5_channel_3_sparse_percent_based_0,6; dark_zurich; 53,6233; 1,7007; 20,0067; 0,6000; 33,1867; 1,5955
train_deeplabv3plus_bw_depth_5_channel_3_sparse_percent_based_0,7; acdc_fog; 84,4500; 1,4762; 43,1867; 1,1074; 52,8367; 0,7600
train_deeplabv3plus_bw_depth_5_channel_3_sparse_percent_based_0,7; acdc_night; 56,0967; 2,0871; 19,4033; 1,3276; 31,3967; 2,2694
train_deeplabv3plus_bw_depth_5_channel_3_sparse_percent_based_0,7; acdc_rain; 84,6400; 1,2955; 34,9567; 1,3258; 43,9133; 2,2732
train_deeplabv3plus_bw_depth_5_channel_3_sparse_percent_based_0,7; acdc_snow; 76,8667; 2,1950; 31,2600; 1,6014; 41,3367; 1,3367
train_deeplabv3plus_bw_depth_5_channel_3_sparse_percent_based_0,7; cityscapes; 93,2467; 0,4007; 61,5233; 0,9335; 71,7600; 0,7136
train_deeplabv3plus_bw_depth_5_channel_3_sparse_percent_based_0,7; dark_zurich; 51,8700; 3,0603; 17,8067; 1,4883; 31,3100; 2,2666
train_deeplabv3plus_bw_depth_5_channel_3_sparse_percent_based_0,8; acdc_fog; 78,0233; 8,1565; 40,4867; 5,5978; 50,6033; 5,6140
train_deeplabv3plus_bw_depth_5_channel_3_sparse_percent_based_0,8; acdc_night; 50,9700; 2,7070; 17,5233; 1,4774; 26,6500; 1,7921
train_deeplabv3plus_bw_depth_5_channel_3_sparse_percent_based_0,8; acdc_rain; 79,5100; 8,4558; 33,6000; 5,5272; 43,0000; 4,9867
train_deeplabv3plus_bw_depth_5_channel_3_sparse_percent_based_0,8; acdc_snow; 71,9567; 7,8882; 30,3033; 5,6374; 40,6867; 4,4862
train_deeplabv3plus_bw_depth_5_channel_3_sparse_percent_based_0,8; cityscapes; 91,7633; 0,9016; 57,3167; 3,9784; 67,7533; 3,9871
train_deeplabv3plus_bw_depth_5_channel_3_sparse_percent_based_0,8; dark_zurich; 47,8133; 2,1705; 16,1600; 0,8150; 26,4100; 0,9154
train_deeplabv3plus_bw_depth_5_channel_3_sparse_percent_based_0,9; acdc_fog; 79,1867; 5,0454; 37,1733; 2,0153; 47,1867; 0,6862
train_deeplabv3plus_bw_depth_5_channel_3_sparse_percent_based_0,9; acdc_night; 47,7533; 2,4343; 16,3500; 1,8903; 26,3500; 1,9476
train_deeplabv3plus_bw_depth_5_channel_3_sparse_percent_based_0,9; acdc_rain; 79,6233; 3,0320; 31,1033; 0,9808; 39,2267; 0,7423
train_deeplabv3plus_bw_depth_5_channel_3_sparse_percent_based_0,9; acdc_snow; 73,1767; 4,8126; 28,2200; 1,1495; 37,3967; 1,2213
train_deeplabv3plus_bw_depth_5_channel_3_sparse_percent_based_0,9; cityscapes; 89,0567; 0,2259; 51,1300; 0,1952; 62,1433; 0,5498
train_deeplabv3plus_bw_depth_5_channel_3_sparse_percent_based_0,9; dark_zurich; 45,4100; 2,0574; 15,2500; 1,6385; 26,1767; 1,4602
train_deeplabv3plus_co_depth_5_channel_3_sparse_percent_based_0,4; acdc_fog; 84,7600; 3,2738; 47,4800; 2,4867; 58,9500; 0,5103
train_deeplabv3plus_co_depth_5_channel_3_sparse_percent_based_0,4; acdc_night; 56,4467; 1,1853; 19,9833; 0,2843; 32,5867; 0,8510
