run; test_dataset; aAcc; mIoU; mAcc
train_mask2former_baseline_seed_25_depth_0_channel_3_sparsity_0,7; acdc_night; 68,8900; 27,7100; 40,4000
train_mask2former_baseline_seed_25_depth_0_channel_3_sparsity_0,7; dark_zurich; 65,8000; 24,1900; 39,5100
train_mask2former_baseline_seed_25_depth_0_channel_3_sparsity_0,7; cityscapes; 93,3000; 66,1600; 77,0500
train_mask2former_baseline_seed_25_depth_0_channel_3_sparsity_0,7; acdc_rain; 84,1600; 45,8100; 57,4900
train_mask2former_baseline_seed_25_depth_0_channel_3_sparsity_0,7; acdc_snow; 81,8900; 46,1600; 59,1400
train_mask2former_baseline_seed_25_depth_0_channel_3_sparsity_0,7; acdc_fog; 86,7500; 54,3600; 66,6500
train_mask2former_baseline_seed_25_depth_0_channel_3_sparsity_0,9; acdc_night; 59,7800; 23,9200; 32,7900
train_mask2former_baseline_seed_25_depth_0_channel_3_sparsity_0,9; dark_zurich; 56,6400; 20,4000; 30,8200
train_mask2former_baseline_seed_25_depth_0_channel_3_sparsity_0,9; cityscapes; 91,2100; 58,3800; 70,8500
train_mask2former_baseline_seed_25_depth_0_channel_3_sparsity_0,9; acdc_rain; 68,1600; 35,0300; 51,3100
train_mask2former_baseline_seed_25_depth_0_channel_3_sparsity_0,9; acdc_snow; 61,1700; 32,8100; 45,6600
train_mask2former_baseline_seed_25_depth_0_channel_3_sparsity_0,9; acdc_fog; 61,8200; 35,7600; 55,1500
train_mask2former_baseline_seed_25_depth_0_channel_3_sparsity_0,6; acdc_night; 64,1800; 25,2700; 36,6900
train_mask2former_baseline_seed_25_depth_0_channel_3_sparsity_0,6; dark_zurich; 60,5100; 21,9400; 35,5700
train_mask2former_baseline_seed_25_depth_0_channel_3_sparsity_0,6; cityscapes; 93,8100; 68,4700; 79,0600
train_mask2former_baseline_seed_25_depth_0_channel_3_sparsity_0,6; acdc_rain; 83,7900; 42,9400; 54,7100
train_mask2former_baseline_seed_25_depth_0_channel_3_sparsity_0,6; acdc_snow; 83,3400; 49,8200; 61,3600
train_mask2former_baseline_seed_25_depth_0_channel_3_sparsity_0,6; acdc_fog; 82,9800; 53,8300; 67,1900
train_mask2former_baseline_seed_25_depth_0_channel_3; acdc_night; 50,8000; 19,0300; 30,9700
train_mask2former_baseline_seed_25_depth_0_channel_3; dark_zurich; 47,8100; 17,5600; 27,4300
train_mask2former_baseline_seed_25_depth_0_channel_3; cityscapes; 96,0900; 77,3300; 86,7500
