run; test_dataset; aAcc; mIoU; mAcc
train_mask2former_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,8; acdc_night; 52,0600; 22,5100; 34,1700
train_mask2former_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,8; dark_zurich; 48,6600; 21,8100; 34,8000
train_mask2former_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,8; cityscapes; 94,0000; 65,5600; 77,3600
train_mask2former_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,8; acdc_rain; 88,5300; 43,6400; 53,1700
train_mask2former_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,8; acdc_snow; 86,3500; 48,4800; 57,4900
train_mask2former_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,8; acdc_fog; 89,1500; 54,2400; 66,3700
train_mask2former_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,4; acdc_night; 62,2600; 25,5900; 40,9100
train_mask2former_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,4; dark_zurich; 60,4100; 24,7800; 40,9700
train_mask2former_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,4; cityscapes; 95,4700; 73,9800; 85,5700
train_mask2former_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,4; acdc_rain; 89,5900; 45,8300; 58,2000
train_mask2former_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,4; acdc_snow; 87,3600; 47,5400; 59,1500
train_mask2former_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,4; acdc_fog; 92,7300; 63,6400; 76,3200
train_mask2former_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,9; acdc_night; 56,0200; 23,1100; 36,4500
train_mask2former_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,9; dark_zurich; 54,1800; 23,6500; 38,6700
train_mask2former_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,9; cityscapes; 92,0800; 59,9500; 72,8100
train_mask2former_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,9; acdc_rain; 85,3000; 38,5400; 48,2000
train_mask2former_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,9; acdc_snow; 82,8900; 41,6600; 51,2500
train_mask2former_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,9; acdc_fog; 88,4800; 53,2200; 63,3300
train_mask2former_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,5; acdc_night; 58,4100; 23,8900; 36,8900
train_mask2former_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,5; dark_zurich; 54,5700; 22,2700; 36,2500
train_mask2former_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,5; cityscapes; 95,3200; 73,6600; 85,0100
train_mask2former_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,5; acdc_rain; 88,1500; 48,0800; 62,4200
train_mask2former_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,5; acdc_snow; 84,3500; 51,9100; 64,0900
train_mask2former_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,5; acdc_fog; 90,4000; 66,6000; 79,0400
train_mask2former_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,7; acdc_night; 51,2400; 22,9400; 35,9400
train_mask2former_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,7; dark_zurich; 49,3400; 21,7000; 34,5000
train_mask2former_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,7; cityscapes; 94,7800; 70,2700; 83,0500
train_mask2former_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,7; acdc_rain; 87,5700; 43,5200; 54,6300
train_mask2former_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,7; acdc_snow; 84,2400; 44,0400; 53,1200
train_mask2former_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,7; acdc_fog; 88,0900; 58,5800; 70,7200
train_mask2former_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,6; acdc_night; 56,4300; 23,1600; 38,1500
train_mask2former_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,6; dark_zurich; 54,3700; 21,9700; 37,3200
train_mask2former_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,6; cityscapes; 95,2300; 72,4300; 83,7300
train_mask2former_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,6; acdc_rain; 88,7700; 47,3900; 62,0700
train_mask2former_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,6; acdc_snow; 86,7500; 49,9300; 61,5200
train_mask2former_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,6; acdc_fog; 90,0300; 61,9900; 74,5800
train_mask2former_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,6; acdc_night; 55,8400; 24,3100; 39,0000
train_mask2former_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,6; dark_zurich; 52,0300; 22,6400; 35,6500
train_mask2former_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,6; cityscapes; 95,1100; 70,1000; 82,1500
