run; test_dataset; aAcc_mean; aAcc_std; mIoU_mean; mIoU_std; mAcc_mean; mAcc_std
train_mask2former_bw_depth_5_channel_3_sparsity_0,0; acdc_fog; 91,2967; 1,0519; 62,1600; 1,1805; 75,2167; 0,8764
train_mask2former_bw_depth_5_channel_3_sparsity_0,0; acdc_night; 62,4300; 0,8329; 28,4500; 1,1829; 42,5000; 2,8561
train_mask2former_bw_depth_5_channel_3_sparsity_0,0; acdc_rain; 87,9533; 1,5044; 47,2000; 0,1308; 63,9967; 2,6581
train_mask2former_bw_depth_5_channel_3_sparsity_0,0; acdc_snow; 85,4667; 2,3091; 49,8700; 2,0649; 60,9533; 0,8832
train_mask2former_bw_depth_5_channel_3_sparsity_0,0; cityscapes; 95,5867; 0,1286; 73,9300; 0,7973; 85,3267; 0,9182
train_mask2former_bw_depth_5_channel_3_sparsity_0,0; dark_zurich; 59,1567; 0,5850; 26,2067; 0,1756; 40,5567; 2,2303
train_mask2former_bw_depth_5_channel_3_sparsity_0,005; acdc_fog; 92,2067; 0,5036; 63,3100; 2,7479; 76,3033; 3,4197
train_mask2former_bw_depth_5_channel_3_sparsity_0,005; acdc_night; 63,4000; 3,1220; 27,2633; 2,0016; 41,3933; 2,1242
train_mask2former_bw_depth_5_channel_3_sparsity_0,005; acdc_rain; 88,8433; 1,1657; 46,7867; 2,7858; 62,2067; 3,9415
train_mask2former_bw_depth_5_channel_3_sparsity_0,005; acdc_snow; 86,7400; 2,1869; 51,9967; 4,3619; 63,0933; 3,1361
train_mask2former_bw_depth_5_channel_3_sparsity_0,005; cityscapes; 95,5867; 0,1168; 73,8633; 0,4460; 84,8400; 0,2506
train_mask2former_bw_depth_5_channel_3_sparsity_0,005; dark_zurich; 60,4600; 3,7139; 25,5567; 1,1036; 39,3333; 1,7158
train_mask2former_bw_depth_5_channel_3_sparsity_0,0075; acdc_fog; 92,0833; 0,2212; 65,3200; 3,3702; 78,1467; 3,1643
train_mask2former_bw_depth_5_channel_3_sparsity_0,0075; acdc_night; 60,7667; 1,1589; 27,8367; 1,2768; 42,0867; 1,6257
train_mask2former_bw_depth_5_channel_3_sparsity_0,0075; acdc_rain; 88,7700; 0,9299; 47,5733; 1,6381; 63,3967; 2,4847
train_mask2former_bw_depth_5_channel_3_sparsity_0,0075; acdc_snow; 84,8900; 1,3928; 48,8833; 2,0611; 60,9567; 0,8013
train_mask2former_bw_depth_5_channel_3_sparsity_0,0075; cityscapes; 95,5600; 0,0173; 73,1467; 0,7882; 84,4300; 0,5981
train_mask2former_bw_depth_5_channel_3_sparsity_0,0075; dark_zurich; 56,9233; 0,6967; 25,8767; 1,3355; 39,2233; 1,9938
train_mask2former_bw_depth_5_channel_3_sparsity_0,01; acdc_fog; 91,5967; 1,1707; 63,7200; 4,7825; 75,3700; 3,6932
train_mask2former_bw_depth_5_channel_3_sparsity_0,01; acdc_night; 61,6633; 1,5801; 26,8000; 1,4052; 39,9867; 1,4668
train_mask2former_bw_depth_5_channel_3_sparsity_0,01; acdc_rain; 89,2033; 0,8890; 48,3467; 1,5616; 63,4233; 2,4800
train_mask2former_bw_depth_5_channel_3_sparsity_0,01; acdc_snow; 85,8800; 1,9673; 48,7767; 0,7695; 59,2500; 0,2524
train_mask2former_bw_depth_5_channel_3_sparsity_0,01; cityscapes; 95,4233; 0,0551; 72,7867; 1,1623; 84,2867; 0,7422
train_mask2former_bw_depth_5_channel_3_sparsity_0,01; dark_zurich; 58,8200; 1,1653; 25,0400; 1,1717; 37,9067; 0,7836
train_mask2former_bw_depth_5_channel_3_sparsity_0,02; acdc_fog; 90,6767; 0,6728; 60,9200; 1,9152; 73,3200; 2,7224
train_mask2former_bw_depth_5_channel_3_sparsity_0,02; acdc_night; 57,6867; 3,9836; 26,6067; 1,7464; 39,6167; 3,2119
train_mask2former_bw_depth_5_channel_3_sparsity_0,02; acdc_rain; 88,4700; 0,4104; 46,8300; 1,4700; 60,8967; 2,6663
train_mask2former_bw_depth_5_channel_3_sparsity_0,02; acdc_snow; 86,2800; 1,0725; 47,7067; 2,5910; 58,1700; 2,0025
train_mask2former_bw_depth_5_channel_3_sparsity_0,02; cityscapes; 95,0000; 0,1058; 70,4800; 1,2137; 82,6700; 1,1092
train_mask2former_bw_depth_5_channel_3_sparsity_0,02; dark_zurich; 55,0900; 3,8851; 24,3300; 1,7242; 36,8633; 2,9021
train_mask2former_co_depth_5_channel_3_sparsity_0,0; acdc_fog; 89,4533; 1,2829; 61,5800; 0,9529; 77,0833; 1,5788
train_mask2former_co_depth_5_channel_3_sparsity_0,0; acdc_night; 58,4367; 3,3150; 26,0833; 2,7243; 41,4467; 3,9792
train_mask2former_co_depth_5_channel_3_sparsity_0,0; acdc_rain; 86,7833; 1,0783; 44,4533; 0,4844; 60,9067; 0,5590
train_mask2former_co_depth_5_channel_3_sparsity_0,0; acdc_snow; 82,7300; 1,1305; 47,4800; 0,6690; 60,1500; 0,8143
train_mask2former_co_depth_5_channel_3_sparsity_0,0; cityscapes; 95,5433; 0,1124; 73,4667; 0,4697; 84,8633; 0,5698
train_mask2former_co_depth_5_channel_3_sparsity_0,0; dark_zurich; 55,2600; 2,4474; 22,8433; 1,8199; 37,3733; 2,5810
train_mask2former_co_depth_5_channel_3_sparsity_0,005; acdc_fog; 90,8633; 1,4254; 64,2700; 0,4036; 78,1667; 0,4311
train_mask2former_co_depth_5_channel_3_sparsity_0,005; acdc_night; 58,0567; 0,9479; 25,0067; 1,8262; 40,0533; 1,1245
train_mask2former_co_depth_5_channel_3_sparsity_0,005; acdc_rain; 87,4267; 0,4148; 46,5467; 1,2045; 63,5533; 2,7681
train_mask2former_co_depth_5_channel_3_sparsity_0,005; acdc_snow; 83,3433; 2,6101; 48,6567; 2,6520; 61,2500; 2,5117
train_mask2former_co_depth_5_channel_3_sparsity_0,005; cityscapes; 95,5300; 0,1179; 73,2467; 0,9757; 84,4833; 0,5314
train_mask2former_co_depth_5_channel_3_sparsity_0,005; dark_zurich; 54,8167; 1,0302; 22,4533; 2,0639; 36,8400; 1,0290
train_mask2former_co_depth_5_channel_3_sparsity_0,0075; acdc_fog; 91,8967; 0,8838; 64,4167; 1,1453; 76,7533; 0,5948
train_mask2former_co_depth_5_channel_3_sparsity_0,0075; acdc_night; 59,7233; 2,3589; 25,8000; 2,7699; 39,8433; 3,3242
train_mask2former_co_depth_5_channel_3_sparsity_0,0075; acdc_rain; 89,3333; 0,4969; 49,1867; 0,3153; 65,4533; 0,9168
train_mask2former_co_depth_5_channel_3_sparsity_0,0075; acdc_snow; 86,0600; 1,9977; 49,5300; 4,9789; 62,3567; 4,3701
train_mask2former_co_depth_5_channel_3_sparsity_0,0075; cityscapes; 95,5367; 0,0462; 73,9233; 0,7638; 85,1700; 0,9597
train_mask2former_co_depth_5_channel_3_sparsity_0,0075; dark_zurich; 56,3800; 2,8890; 24,3433; 1,7924; 38,3000; 2,8402
train_mask2former_co_depth_5_channel_3_sparsity_0,01; acdc_fog; 91,6467; 0,9058; 64,0167; 0,7051; 76,2467; 1,1020
train_mask2former_co_depth_5_channel_3_sparsity_0,01; acdc_night; 56,5067; 1,2571; 23,6367; 1,7135; 37,3833; 0,5294
train_mask2former_co_depth_5_channel_3_sparsity_0,01; acdc_rain; 88,7367; 0,8887; 47,2533; 2,2046; 63,1167; 1,3400
train_mask2former_co_depth_5_channel_3_sparsity_0,01; acdc_snow; 85,1833; 1,9012; 49,2167; 1,9490; 61,2600; 0,9959
train_mask2former_co_depth_5_channel_3_sparsity_0,01; cityscapes; 95,5100; 0,0889; 73,6700; 0,9297; 84,8167; 0,6854
train_mask2former_co_depth_5_channel_3_sparsity_0,01; dark_zurich; 53,2400; 0,9656; 22,4767; 1,1265; 36,0900; 0,8921
train_mask2former_co_depth_5_channel_3_sparsity_0,02; acdc_fog; 89,5533; 0,5378; 57,4667; 3,7632; 70,6267; 3,2287
train_mask2former_co_depth_5_channel_3_sparsity_0,02; acdc_night; 54,0300; 2,1370; 23,4700; 2,0907; 35,6167; 2,1820
