run; test_dataset; aAcc_mean; aAcc_std; mIoU_mean; mIoU_std; mAcc_mean; mAcc_std
train_upernet_baseline_depth_0_channel_3_sparsity_0,0; acdc_fog; 86,2533; 2,4059; 45,4433; 1,6884; 55,5600; 3,7822
train_upernet_baseline_depth_0_channel_3_sparsity_0,0; acdc_night; 45,2367; 7,1744; 11,5300; 1,2375; 21,9567; 2,2000
train_upernet_baseline_depth_0_channel_3_sparsity_0,0; acdc_rain; 81,4433; 4,9812; 35,3533; 2,1179; 48,5100; 2,4551
train_upernet_baseline_depth_0_channel_3_sparsity_0,0; acdc_snow; 66,6900; 11,2244; 26,8367; 4,1277; 38,6533; 7,8483
train_upernet_baseline_depth_0_channel_3_sparsity_0,0; cityscapes; 94,4200; 0,1664; 64,6400; 1,9301; 72,6300; 1,2469
train_upernet_baseline_depth_0_channel_3_sparsity_0,0; dark_zurich; 42,8567; 6,7374; 11,4233; 0,5771; 21,9233; 2,6010
train_upernet_baseline_depth_0_channel_3_sparsity_0,4; acdc_fog; 57,0000; 4,2882; 27,0367; 1,0852; 35,4967; 3,0593
train_upernet_baseline_depth_0_channel_3_sparsity_0,4; acdc_night; 45,8133; 6,3851; 11,0500; 1,2200; 16,3933; 2,7016
train_upernet_baseline_depth_0_channel_3_sparsity_0,4; acdc_rain; 45,2767; 2,6014; 15,2667; 0,8391; 22,4167; 2,5419
train_upernet_baseline_depth_0_channel_3_sparsity_0,4; acdc_snow; 49,9267; 5,1598; 19,8333; 1,1437; 28,1800; 1,5772
train_upernet_baseline_depth_0_channel_3_sparsity_0,4; cityscapes; 86,1300; 2,5491; 42,4367; 2,3713; 51,3600; 2,9589
train_upernet_baseline_depth_0_channel_3_sparsity_0,4; dark_zurich; 43,3300; 8,1466; 11,6800; 1,7681; 17,5467; 3,6093
train_upernet_baseline_depth_0_channel_3_sparsity_0,5; acdc_fog; 66,5500; 1,1805; 28,6233; 2,7592; 36,5933; 1,6188
train_upernet_baseline_depth_0_channel_3_sparsity_0,5; acdc_night; 47,3200; 3,3288; 11,4000; 1,9210; 17,4433; 2,6273
train_upernet_baseline_depth_0_channel_3_sparsity_0,5; acdc_rain; 60,8267; 3,0456; 18,7200; 1,0315; 25,6867; 1,3008
