run; test_dataset; aAcc_mean; aAcc_std; mIoU_mean; mIoU_std; mAcc_mean; mAcc_std
train_upernet_bw_depth_5_channel_3_sparse_percent_based_0,4; acdc_fog; 87,4667; 1,2701; 45,8967; 1,6139; 53,2700; 3,7521
train_upernet_bw_depth_5_channel_3_sparse_percent_based_0,4; acdc_night; 55,1500; 0,8433; 17,8233; 0,6243; 28,6500; 2,7612
train_upernet_bw_depth_5_channel_3_sparse_percent_based_0,4; acdc_rain; 80,2433; 1,8709; 32,1900; 1,3111; 40,8700; 2,7385
train_upernet_bw_depth_5_channel_3_sparse_percent_based_0,4; acdc_snow; 72,7300; 2,1257; 27,9267; 1,3838; 37,4633; 2,7710
train_upernet_bw_depth_5_channel_3_sparse_percent_based_0,4; cityscapes; 93,6767; 0,2515; 60,4233; 0,4734; 68,6300; 0,4951
train_upernet_bw_depth_5_channel_3_sparse_percent_based_0,4; dark_zurich; 50,8867; 0,9799; 17,0000; 0,8381; 28,8267; 2,6307
train_upernet_bw_depth_5_channel_3_sparse_percent_based_0,5; acdc_fog; 79,8133; 5,0489; 41,8533; 0,6258; 49,4267; 0,6928
train_upernet_bw_depth_5_channel_3_sparse_percent_based_0,5; acdc_night; 57,2700; 0,4623; 18,6933; 0,8701; 30,4033; 0,5559
train_upernet_bw_depth_5_channel_3_sparse_percent_based_0,5; acdc_rain; 75,4967; 3,5951; 30,7367; 0,5465; 39,6400; 0,6518
train_upernet_bw_depth_5_channel_3_sparse_percent_based_0,5; acdc_snow; 65,6333; 5,4318; 26,6933; 1,7867; 35,2500; 1,7850
train_upernet_bw_depth_5_channel_3_sparse_percent_based_0,5; cityscapes; 93,5233; 0,1804; 58,9900; 0,9395; 66,8600; 0,9271
train_upernet_bw_depth_5_channel_3_sparse_percent_based_0,5; dark_zurich; 53,8400; 0,6451; 18,4067; 1,4503; 31,6467; 0,8401
train_upernet_bw_depth_5_channel_3_sparse_percent_based_0,6; acdc_fog; 81,5600; 4,5565; 43,3633; 0,9113; 51,4467; 0,5273
train_upernet_bw_depth_5_channel_3_sparse_percent_based_0,6; acdc_night; 58,2367; 0,7801; 18,2800; 0,4214; 29,2467; 0,6653
train_upernet_bw_depth_5_channel_3_sparse_percent_based_0,6; acdc_rain; 78,0967; 3,8531; 31,4533; 0,6671; 40,1900; 1,6008
train_upernet_bw_depth_5_channel_3_sparse_percent_based_0,6; acdc_snow; 67,1433; 3,9090; 26,4400; 0,4694; 35,8233; 0,9395
train_upernet_bw_depth_5_channel_3_sparse_percent_based_0,6; cityscapes; 92,7900; 0,1931; 57,6600; 0,8386; 66,3867; 1,5490
train_upernet_bw_depth_5_channel_3_sparse_percent_based_0,6; dark_zurich; 54,7000; 0,7702; 17,6600; 0,1905; 28,7300; 0,6594
train_upernet_bw_depth_5_channel_3_sparse_percent_based_0,7; acdc_fog; 80,7833; 4,6462; 42,0700; 3,1373; 49,5600; 4,3623
train_upernet_bw_depth_5_channel_3_sparse_percent_based_0,7; acdc_night; 56,2400; 0,9554; 18,4400; 1,3771; 28,4433; 1,1319
train_upernet_bw_depth_5_channel_3_sparse_percent_based_0,7; acdc_rain; 78,0233; 2,5397; 30,9867; 2,9127; 38,2767; 4,1491
train_upernet_bw_depth_5_channel_3_sparse_percent_based_0,7; acdc_snow; 61,2633; 4,7307; 21,9000; 2,2417; 29,4233; 3,9800
train_upernet_bw_depth_5_channel_3_sparse_percent_based_0,7; cityscapes; 92,6133; 0,6799; 59,6567; 3,5280; 68,9000; 3,6836
train_upernet_bw_depth_5_channel_3_sparse_percent_based_0,7; dark_zurich; 52,3800; 1,6593; 16,8300; 1,8720; 27,6800; 1,5661
train_upernet_bw_depth_5_channel_3_sparse_percent_based_0,8; acdc_fog; 84,8200; 1,2760; 40,9400; 1,2933; 47,5733; 2,2802
train_upernet_bw_depth_5_channel_3_sparse_percent_based_0,8; acdc_night; 50,3800; 4,5475; 15,8867; 1,6086; 25,7300; 2,7770
train_upernet_bw_depth_5_channel_3_sparse_percent_based_0,8; acdc_rain; 81,8800; 2,1380; 30,2567; 1,6027; 36,8067; 2,6276
train_upernet_bw_depth_5_channel_3_sparse_percent_based_0,8; acdc_snow; 70,8800; 4,0889; 24,0900; 3,2869; 30,3967; 4,1321
train_upernet_bw_depth_5_channel_3_sparse_percent_based_0,8; cityscapes; 91,5100; 0,4471; 56,3133; 2,6306; 66,0700; 2,8364
train_upernet_bw_depth_5_channel_3_sparse_percent_based_0,8; dark_zurich; 47,5500; 3,3740; 15,1833; 1,2530; 26,6900; 2,6157
train_upernet_bw_depth_5_channel_3_sparse_percent_based_0,9; acdc_fog; 76,6933; 3,8305; 32,8433; 0,4046; 40,1433; 1,0663
train_upernet_bw_depth_5_channel_3_sparse_percent_based_0,9; acdc_night; 40,9900; 3,4221; 12,6467; 1,0337; 21,1200; 1,5379
train_upernet_bw_depth_5_channel_3_sparse_percent_based_0,9; acdc_rain; 78,1900; 2,0033; 26,9867; 0,7939; 33,2133; 0,8351
train_upernet_bw_depth_5_channel_3_sparse_percent_based_0,9; acdc_snow; 69,3767; 0,9888; 23,9300; 1,0834; 30,7133; 1,5232
train_upernet_bw_depth_5_channel_3_sparse_percent_based_0,9; cityscapes; 88,5267; 0,2346; 49,1433; 0,7151; 58,7900; 2,3400
train_upernet_bw_depth_5_channel_3_sparse_percent_based_0,9; dark_zurich; 38,0567; 4,2262; 11,5433; 0,6710; 20,5933; 1,8363
train_upernet_co_depth_5_channel_3_sparse_percent_based_0,4; acdc_fog; 87,3700; 2,3569; 48,2933; 1,4112; 57,7333; 1,3731
train_upernet_co_depth_5_channel_3_sparse_percent_based_0,4; acdc_night; 52,3467; 1,6402; 16,1600; 1,5205; 28,6867; 1,6254
train_upernet_co_depth_5_channel_3_sparse_percent_based_0,4; acdc_rain; 81,2033; 2,1776; 35,9767; 0,5014; 46,9833; 1,0340
train_upernet_co_depth_5_channel_3_sparse_percent_based_0,4; acdc_snow; 71,9567; 4,6115; 28,3433; 2,9527; 39,1300; 3,3644
train_upernet_co_depth_5_channel_3_sparse_percent_based_0,4; cityscapes; 94,5400; 0,1300; 63,4600; 2,2455; 71,8333; 2,6561
train_upernet_co_depth_5_channel_3_sparse_percent_based_0,4; dark_zurich; 48,6400; 1,5235; 15,6633; 1,7707; 28,6900; 1,3710
train_upernet_co_depth_5_channel_3_sparse_percent_based_0,5; acdc_fog; 82,8900; 3,5334; 46,7667; 1,6703; 56,4233; 1,4059
train_upernet_co_depth_5_channel_3_sparse_percent_based_0,5; acdc_night; 53,9600; 2,8014; 17,4033; 1,0703; 28,6867; 0,4619
train_upernet_co_depth_5_channel_3_sparse_percent_based_0,5; acdc_rain; 72,8467; 2,1571; 33,2767; 0,5701; 45,3600; 1,7963
train_upernet_co_depth_5_channel_3_sparse_percent_based_0,5; acdc_snow; 66,7967; 4,1135; 28,8533; 2,9807; 40,4700; 1,8303
train_upernet_co_depth_5_channel_3_sparse_percent_based_0,5; cityscapes; 94,5033; 0,3308; 63,9600; 4,5904; 72,6033; 4,1896
train_upernet_co_depth_5_channel_3_sparse_percent_based_0,5; dark_zurich; 49,6467; 4,3322; 17,1833; 0,9667; 30,4700; 0,7301
train_upernet_co_depth_5_channel_3_sparse_percent_based_0,6; acdc_fog; 83,0433; 3,8440; 46,2233; 2,0454; 55,3233; 1,7475
train_upernet_co_depth_5_channel_3_sparse_percent_based_0,6; acdc_night; 53,6667; 3,0024; 17,7400; 0,7654; 30,6067; 0,7853
train_upernet_co_depth_5_channel_3_sparse_percent_based_0,6; acdc_rain; 78,2700; 5,6989; 33,1333; 2,4786; 43,7967; 2,0784
train_upernet_co_depth_5_channel_3_sparse_percent_based_0,6; acdc_snow; 70,1900; 6,3864; 28,2267; 1,5421; 39,5467; 1,5511
train_upernet_co_depth_5_channel_3_sparse_percent_based_0,6; cityscapes; 94,2100; 0,0624; 61,6133; 0,9680; 69,2800; 1,7374
train_upernet_co_depth_5_channel_3_sparse_percent_based_0,6; dark_zurich; 49,3067; 4,9512; 17,4233; 1,4132; 29,7067; 1,9383
train_upernet_co_depth_5_channel_3_sparse_percent_based_0,7; acdc_fog; 83,3767; 4,4204; 45,6467; 3,8400; 54,7433; 3,3933
train_upernet_co_depth_5_channel_3_sparse_percent_based_0,7; acdc_night; 57,7033; 1,7724; 18,5833; 1,4755; 31,4133; 1,1245
train_upernet_co_depth_5_channel_3_sparse_percent_based_0,7; acdc_rain; 76,1867; 3,4973; 32,8167; 1,4708; 42,8867; 1,3885
train_upernet_co_depth_5_channel_3_sparse_percent_based_0,7; acdc_snow; 68,4733; 6,0680; 27,9933; 2,8260; 38,4233; 2,3549
train_upernet_co_depth_5_channel_3_sparse_percent_based_0,7; cityscapes; 94,2200; 0,2553; 62,9933; 3,0116; 71,2500; 3,0638
train_upernet_co_depth_5_channel_3_sparse_percent_based_0,7; dark_zurich; 54,2633; 2,3171; 17,8400; 2,0208; 31,4567; 0,8805
train_upernet_co_depth_5_channel_3_sparse_percent_based_0,8; acdc_fog; 79,6200; 8,0502; 43,4667; 2,3466; 52,0500; 2,0601
train_upernet_co_depth_5_channel_3_sparse_percent_based_0,8; acdc_night; 54,8800; 2,3161; 17,8367; 0,7646; 28,5700; 1,5618
train_upernet_co_depth_5_channel_3_sparse_percent_based_0,8; acdc_rain; 76,7733; 6,3969; 31,6133; 2,1626; 40,7033; 1,8318
train_upernet_co_depth_5_channel_3_sparse_percent_based_0,8; acdc_snow; 71,0167; 6,4689; 27,4800; 2,4265; 37,7633; 1,7670
train_upernet_co_depth_5_channel_3_sparse_percent_based_0,8; cityscapes; 93,4700; 0,1442; 59,3200; 0,5789; 67,4800; 0,4553
train_upernet_co_depth_5_channel_3_sparse_percent_based_0,8; dark_zurich; 50,4700; 2,5680; 16,7100; 0,4392; 28,1933; 2,1081
train_upernet_co_depth_5_channel_3_sparse_percent_based_0,9; acdc_fog; 82,9800; 0,1908; 44,4467; 2,7137; 52,8033; 3,5204
train_upernet_co_depth_5_channel_3_sparse_percent_based_0,9; acdc_night; 52,3700; 2,2850; 16,2267; 1,2199; 25,6267; 1,1360
train_upernet_co_depth_5_channel_3_sparse_percent_based_0,9; acdc_rain; 80,9000; 1,0352; 32,6267; 1,3557; 40,5000; 2,0146
train_upernet_co_depth_5_channel_3_sparse_percent_based_0,9; acdc_snow; 70,4333; 1,6174; 26,6300; 2,0642; 35,9400; 2,8792
train_upernet_co_depth_5_channel_3_sparse_percent_based_0,9; cityscapes; 92,5733; 0,2515; 59,1033; 3,3308; 67,9700; 4,0048
train_upernet_co_depth_5_channel_3_sparse_percent_based_0,9; dark_zurich; 47,5300; 3,1697; 15,0133; 2,0496; 26,5933; 1,5113
train_upernet_sc_depth_5_channel_3_sparse_percent_based_0,4; acdc_fog; 84,2167; 2,5515; 45,2867; 1,1839; 55,1600; 0,8055
train_upernet_sc_depth_5_channel_3_sparse_percent_based_0,4; acdc_night; 51,9700; 8,2431; 16,5100; 1,7054; 28,9733; 1,6935
train_upernet_sc_depth_5_channel_3_sparse_percent_based_0,4; acdc_rain; 79,5900; 2,3425; 34,7667; 0,9906; 45,0267; 1,8423
train_upernet_sc_depth_5_channel_3_sparse_percent_based_0,4; acdc_snow; 70,8067; 2,7020; 27,1700; 1,1955; 37,1133; 1,4888
train_upernet_sc_depth_5_channel_3_sparse_percent_based_0,4; cityscapes; 94,3167; 0,1893; 62,6900; 0,8207; 70,3800; 0,3686
train_upernet_sc_depth_5_channel_3_sparse_percent_based_0,4; dark_zurich; 49,0900; 8,9736; 16,0133; 2,4724; 28,7000; 2,7246
train_upernet_sc_depth_5_channel_3_sparse_percent_based_0,5; acdc_fog; 81,8000; 4,1851; 44,2733; 1,2342; 55,6933; 2,1015
train_upernet_sc_depth_5_channel_3_sparse_percent_based_0,5; acdc_night; 50,5100; 5,4493; 16,8400; 1,0306; 29,4300; 2,1688
train_upernet_sc_depth_5_channel_3_sparse_percent_based_0,5; acdc_rain; 81,3433; 0,5608; 35,5833; 1,0409; 47,2133; 1,4572
train_upernet_sc_depth_5_channel_3_sparse_percent_based_0,5; acdc_snow; 71,3333; 3,5572; 28,0767; 0,6258; 39,0133; 1,3816
train_upernet_sc_depth_5_channel_3_sparse_percent_based_0,5; cityscapes; 94,4200; 0,2685; 63,3133; 3,5019; 71,8767; 4,0602
