run; test_dataset; aAcc; mIoU; mAcc
train_deeplabv3plus_baseline_seed_25_depth_0_channel_3_sparsity_0,7; acdc_night; 53,1300; 13,6000; 23,9900
train_deeplabv3plus_baseline_seed_25_depth_0_channel_3_sparsity_0,7; dark_zurich; 25,7500; 6,0700; 14,3000
train_deeplabv3plus_baseline_seed_25_depth_0_channel_3_sparsity_0,7; cityscapes; 91,1100; 54,0100; 64,4400
train_deeplabv3plus_baseline_seed_25_depth_0_channel_3_sparsity_0,7; acdc_rain; 69,9300; 20,6600; 29,2000
train_deeplabv3plus_baseline_seed_25_depth_0_channel_3_sparsity_0,7; acdc_snow; 69,9300; 24,1700; 35,0600
train_deeplabv3plus_baseline_seed_25_depth_0_channel_3_sparsity_0,7; acdc_fog; 67,7000; 19,6100; 28,7900
train_deeplabv3plus_baseline_seed_25_depth_0_channel_3_sparsity_0,7; acdc_full; 62,3400; 18,3100; 31,6400
train_deeplabv3plus_baseline_seed_25_depth_0_channel_3_sparsity_0,5; acdc_night; 44,1600; 11,5000; 20,5500
train_deeplabv3plus_baseline_seed_25_depth_0_channel_3_sparsity_0,5; dark_zurich; 23,7100; 5,9100; 13,7600
train_deeplabv3plus_baseline_seed_25_depth_0_channel_3_sparsity_0,5; cityscapes; 91,8000; 57,7800; 69,7200
train_deeplabv3plus_baseline_seed_25_depth_0_channel_3_sparsity_0,5; acdc_rain; 55,7800; 17,2300; 28,8000
train_deeplabv3plus_baseline_seed_25_depth_0_channel_3_sparsity_0,5; acdc_snow; 47,7900; 20,0300; 33,1100
train_deeplabv3plus_baseline_seed_25_depth_0_channel_3_sparsity_0,5; acdc_fog; 51,4300; 22,5900; 37,3000
train_deeplabv3plus_baseline_seed_25_depth_0_channel_3_sparsity_0,5; acdc_full; 53,5100; 17,4100; 31,8900
train_deeplabv3plus_baseline_seed_25_depth_0_channel_3_sparsity_0,9; acdc_night; 35,1300; 7,7500; 17,0200
train_deeplabv3plus_baseline_seed_25_depth_0_channel_3_sparsity_0,9; dark_zurich; 32,2000; 5,9200; 15,2000
train_deeplabv3plus_baseline_seed_25_depth_0_channel_3_sparsity_0,9; cityscapes; 84,9200; 37,4200; 46,5100
train_deeplabv3plus_baseline_seed_25_depth_0_channel_3_sparsity_0,9; acdc_rain; 46,9800; 12,4000; 22,7700
train_deeplabv3plus_baseline_seed_25_depth_0_channel_3_sparsity_0,9; acdc_snow; 42,0700; 14,8700; 30,3300
train_deeplabv3plus_baseline_seed_25_depth_0_channel_3_sparsity_0,9; acdc_fog; 39,6300; 12,5200; 22,9100
train_deeplabv3plus_baseline_seed_25_depth_0_channel_3_sparsity_0,9; acdc_full; 45,1300; 9,6800; 15,8700
train_deeplabv3plus_baseline_seed_25_depth_0_channel_3_sparsity_0,4; acdc_night; 51,6800; 13,8800; 22,4100
train_deeplabv3plus_baseline_seed_25_depth_0_channel_3_sparsity_0,4; dark_zurich; 24,5800; 5,5700; 14,4300
train_deeplabv3plus_baseline_seed_25_depth_0_channel_3_sparsity_0,4; cityscapes; 93,2100; 63,8900; 74,6100
train_deeplabv3plus_baseline_seed_25_depth_0_channel_3_sparsity_0,4; acdc_rain; 71,2400; 25,5100; 36,4500
train_deeplabv3plus_baseline_seed_25_depth_0_channel_3_sparsity_0,4; acdc_snow; 59,6000; 23,0200; 34,5200
train_deeplabv3plus_baseline_seed_25_depth_0_channel_3_sparsity_0,4; acdc_fog; 68,1900; 30,9500; 43,7300
train_deeplabv3plus_baseline_seed_25_depth_0_channel_3_sparsity_0,4; acdc_full; 63,1800; 21,9500; 36,7200
train_deeplabv3plus_baseline_seed_25_depth_0_channel_3_sparsity_0,6; acdc_night; 31,8600; 8,3200; 15,5600
train_deeplabv3plus_baseline_seed_25_depth_0_channel_3_sparsity_0,6; dark_zurich; 18,0500; 5,0200; 11,0100
train_deeplabv3plus_baseline_seed_25_depth_0_channel_3_sparsity_0,6; cityscapes; 91,3100; 56,3300; 67,7800
