run; test_dataset; aAcc; mIoU; mAcc
train_deeplabv3plus_bw_seed_25_depth_5_channel_3_sparsity_0,02; acdc_night; 60,1600; 21,5100; 35,3800
train_deeplabv3plus_bw_seed_25_depth_5_channel_3_sparsity_0,02; dark_zurich; 57,6600; 21,1200; 36,8600
train_deeplabv3plus_bw_seed_25_depth_5_channel_3_sparsity_0,02; cityscapes; 93,8000; 62,7700; 74,2200
train_deeplabv3plus_bw_seed_25_depth_5_channel_3_sparsity_0,02; acdc_rain; 87,5500; 38,1700; 47,2100
train_deeplabv3plus_bw_seed_25_depth_5_channel_3_sparsity_0,02; acdc_snow; 82,9100; 35,4100; 46,2400
train_deeplabv3plus_bw_seed_25_depth_5_channel_3_sparsity_0,02; acdc_fog; 90,1900; 49,0500; 57,2700
train_deeplabv3plus_bw_seed_25_depth_5_channel_3_sparsity_0,02; acdc_full; 80,0500; 35,7000; 44,7400
train_deeplabv3plus_bw_seed_25_depth_5_channel_3_sparsity_0,0075; acdc_night; 61,4600; 22,8100; 35,0800
train_deeplabv3plus_bw_seed_25_depth_5_channel_3_sparsity_0,0075; dark_zurich; 57,9900; 20,8400; 33,4700
train_deeplabv3plus_bw_seed_25_depth_5_channel_3_sparsity_0,0075; cityscapes; 93,7800; 66,0400; 78,6000
train_deeplabv3plus_bw_seed_25_depth_5_channel_3_sparsity_0,0075; acdc_rain; 86,7700; 39,1000; 49,1400
train_deeplabv3plus_bw_seed_25_depth_5_channel_3_sparsity_0,0075; acdc_snow; 83,5700; 36,6100; 47,8500
train_deeplabv3plus_bw_seed_25_depth_5_channel_3_sparsity_0,0075; acdc_fog; 89,4600; 53,9100; 64,1900
train_deeplabv3plus_bw_seed_25_depth_5_channel_3_sparsity_0,0075; acdc_full; 80,1600; 37,7400; 47,3200
train_deeplabv3plus_bw_seed_25_depth_5_channel_3_sparsity_0,005; acdc_night; 58,6300; 22,2100; 33,8200
train_deeplabv3plus_bw_seed_25_depth_5_channel_3_sparsity_0,005; dark_zurich; 54,9600; 20,4500; 33,9700
train_deeplabv3plus_bw_seed_25_depth_5_channel_3_sparsity_0,005; cityscapes; 94,6200; 67,2900; 77,8300
train_deeplabv3plus_bw_seed_25_depth_5_channel_3_sparsity_0,005; acdc_rain; 84,9300; 38,7700; 51,8500
train_deeplabv3plus_bw_seed_25_depth_5_channel_3_sparsity_0,005; acdc_snow; 74,6300; 34,9700; 48,1100
train_deeplabv3plus_bw_seed_25_depth_5_channel_3_sparsity_0,005; acdc_fog; 86,3600; 52,7400; 65,6500
train_deeplabv3plus_bw_seed_25_depth_5_channel_3_sparsity_0,005; acdc_full; 76,0000; 36,8600; 47,9300
train_deeplabv3plus_bw_seed_25_depth_5_channel_3_sparsity_0,01; acdc_night; 60,1300; 22,6400; 33,9200
train_deeplabv3plus_bw_seed_25_depth_5_channel_3_sparsity_0,01; dark_zurich; 56,8100; 22,1200; 35,4100
train_deeplabv3plus_bw_seed_25_depth_5_channel_3_sparsity_0,01; cityscapes; 94,1100; 63,8400; 74,6100
train_deeplabv3plus_bw_seed_25_depth_5_channel_3_sparsity_0,01; acdc_rain; 87,3900; 39,1100; 51,2800
train_deeplabv3plus_bw_seed_25_depth_5_channel_3_sparsity_0,01; acdc_snow; 83,0700; 35,7700; 46,8200
train_deeplabv3plus_bw_seed_25_depth_5_channel_3_sparsity_0,01; acdc_fog; 89,5600; 51,7400; 61,4100
train_deeplabv3plus_bw_seed_25_depth_5_channel_3_sparsity_0,01; acdc_full; 79,8800; 36,7300; 46,5300
train_deeplabv3plus_bw_seed_42_depth_5_channel_3_sparsity_0,0075; acdc_night; 58,5100; 22,4200; 37,2700
train_deeplabv3plus_bw_seed_42_depth_5_channel_3_sparsity_0,0075; dark_zurich; 54,8500; 21,3500; 37,0000
train_deeplabv3plus_bw_seed_42_depth_5_channel_3_sparsity_0,0075; cityscapes; 94,4400; 62,4000; 72,5100
train_deeplabv3plus_bw_seed_42_depth_5_channel_3_sparsity_0,0075; acdc_rain; 79,7000; 35,2200; 45,6500
