run; test_dataset; aAcc_mean; aAcc_std; mIoU_mean; mIoU_std; mAcc_mean; mAcc_std
train_deeplabv3plus_bw_depth_5_channel_3_sparsity_0,005; acdc_fog; 87,7300; 2,0526; 51,6500; 0,9487; 62,4333; 2,8311
train_deeplabv3plus_bw_depth_5_channel_3_sparsity_0,005; acdc_full; 77,2733; 2,4430; 35,8167; 0,9602; 45,8733; 1,7855
train_deeplabv3plus_bw_depth_5_channel_3_sparsity_0,005; acdc_night; 58,5233; 1,5228; 21,1633; 1,0165; 33,5933; 0,3101
train_deeplabv3plus_bw_depth_5_channel_3_sparsity_0,005; acdc_rain; 85,8867; 1,7267; 38,0000; 1,1566; 48,8500; 2,8098
train_deeplabv3plus_bw_depth_5_channel_3_sparsity_0,005; acdc_snow; 77,5467; 4,7774; 34,2967; 0,8154; 45,9733; 1,8510
train_deeplabv3plus_bw_depth_5_channel_3_sparsity_0,005; cityscapes; 94,5233; 0,2589; 66,2700; 1,0623; 76,4967; 1,5407
train_deeplabv3plus_bw_depth_5_channel_3_sparsity_0,005; dark_zurich; 54,6967; 2,5154; 19,8833; 0,6086; 33,6133; 0,4631
train_deeplabv3plus_bw_depth_5_channel_3_sparsity_0,0075; acdc_fog; 85,7600; 3,5905; 51,6300; 3,7772; 62,9033; 4,5098
train_deeplabv3plus_bw_depth_5_channel_3_sparsity_0,0075; acdc_full; 76,2467; 3,8659; 36,1233; 2,3722; 47,3467; 3,5401
train_deeplabv3plus_bw_depth_5_channel_3_sparsity_0,0075; acdc_night; 59,8067; 1,5070; 22,5700; 0,2100; 36,2500; 1,1027
train_deeplabv3plus_bw_depth_5_channel_3_sparsity_0,0075; acdc_rain; 83,1633; 3,5372; 37,7167; 2,1664; 49,8267; 4,5590
train_deeplabv3plus_bw_depth_5_channel_3_sparsity_0,0075; acdc_snow; 76,7733; 6,9765; 34,5367; 3,2759; 47,4767; 3,8137
train_deeplabv3plus_bw_depth_5_channel_3_sparsity_0,0075; cityscapes; 94,3100; 0,4784; 65,2867; 2,5934; 76,7700; 3,7014
train_deeplabv3plus_bw_depth_5_channel_3_sparsity_0,0075; dark_zurich; 56,1900; 1,6198; 21,1700; 0,2862; 36,0300; 2,2386
