run; test_dataset; aAcc_mean; aAcc_std; mIoU_mean; mIoU_std; mAcc_mean; mAcc_std
train_mask2former_baseline_depth_0_channel_3; acdc_fog; 91,0800; 1,4606; 64,7033; 3,0420; 79,7733; 3,0581
train_mask2former_baseline_depth_0_channel_3; acdc_full; 77,9400; 1,3489; 42,0533; 1,4171; 60,1367; 2,2195
train_mask2former_baseline_depth_0_channel_3; acdc_night; 51,5700; 2,5633; 19,6533; 1,2208; 32,3233; 1,8029
train_mask2former_baseline_depth_0_channel_3; acdc_rain; 87,9667; 0,3787; 49,9067; 1,3170; 71,1333; 1,7094
train_mask2former_baseline_depth_0_channel_3; acdc_snow; 81,9767; 1,7120; 48,2033; 2,0915; 62,9433; 2,1570
train_mask2former_baseline_depth_0_channel_3; cityscapes; 96,0967; 0,0503; 77,4333; 0,3467; 86,8333; 0,1893
train_mask2former_baseline_depth_0_channel_3; dark_zurich; 47,3400; 4,1251; 18,1600; 1,1447; 28,8833; 2,7189
train_mask2former_baseline_depth_0_channel_3_sparsity_0,4; acdc_fog; 84,9167; 1,0362; 55,3600; 1,9659; 67,8200; 1,1181
train_mask2former_baseline_depth_0_channel_3_sparsity_0,4; acdc_full; 77,0133; 1,2596; 40,0567; 2,0288; 56,9800; 1,5401
train_mask2former_baseline_depth_0_channel_3_sparsity_0,4; acdc_night; 56,4600; 3,5922; 22,5500; 0,8820; 31,5867; 1,7451
train_mask2former_baseline_depth_0_channel_3_sparsity_0,4; acdc_rain; 83,0933; 1,7441; 45,0100; 3,2738; 58,3500; 3,4213
train_mask2former_baseline_depth_0_channel_3_sparsity_0,4; acdc_snow; 82,5300; 1,4110; 48,0333; 2,2566; 58,6900; 2,2605
train_mask2former_baseline_depth_0_channel_3_sparsity_0,4; cityscapes; 93,9633; 0,4910; 69,2267; 1,5865; 79,7833; 1,5000
train_mask2former_baseline_depth_0_channel_3_sparsity_0,4; dark_zurich; 53,6467; 3,1377; 20,5900; 0,1916; 30,5533; 0,9502
train_mask2former_baseline_depth_0_channel_3_sparsity_0,5; acdc_fog; 86,3967; 0,7545; 55,0700; 1,4864; 67,6667; 1,9767
train_mask2former_baseline_depth_0_channel_3_sparsity_0,5; acdc_full; 76,2133; 1,4367; 37,3067; 2,0011; 54,7900; 0,3460
train_mask2former_baseline_depth_0_channel_3_sparsity_0,5; acdc_night; 63,0967; 3,0598; 24,7967; 1,4661; 35,7000; 2,2424
train_mask2former_baseline_depth_0_channel_3_sparsity_0,5; acdc_rain; 85,4700; 1,2003; 44,4433; 3,1014; 56,9667; 2,8334
train_mask2former_baseline_depth_0_channel_3_sparsity_0,5; acdc_snow; 83,6067; 0,7966; 48,6167; 0,5095; 59,6867; 1,2532
train_mask2former_baseline_depth_0_channel_3_sparsity_0,5; cityscapes; 93,9200; 0,2339; 67,7800; 0,5122; 78,8300; 0,3900
train_mask2former_baseline_depth_0_channel_3_sparsity_0,5; dark_zurich; 59,9833; 3,2750; 21,8100; 0,9418; 34,3600; 1,7812
train_mask2former_baseline_depth_0_channel_3_sparsity_0,6; acdc_fog; 84,9733; 1,7328; 54,8300; 0,9582; 68,3033; 1,1201
train_mask2former_baseline_depth_0_channel_3_sparsity_0,6; acdc_full; 75,0867; 1,6374; 33,2433; 1,1697; 51,6567; 0,6709
train_mask2former_baseline_depth_0_channel_3_sparsity_0,6; acdc_night; 62,4700; 1,6668; 24,9467; 0,2854; 35,8300; 0,7618
train_mask2former_baseline_depth_0_channel_3_sparsity_0,6; acdc_rain; 84,7767; 0,9272; 44,5933; 1,4324; 57,5067; 2,4662
train_mask2former_baseline_depth_0_channel_3_sparsity_0,6; acdc_snow; 83,3067; 1,2303; 48,6867; 1,4373; 61,4367; 1,3167
train_mask2former_baseline_depth_0_channel_3_sparsity_0,6; cityscapes; 93,9233; 0,1266; 68,4300; 0,2030; 78,7967; 0,2511
train_mask2former_baseline_depth_0_channel_3_sparsity_0,6; dark_zurich; 58,6500; 2,4230; 21,3833; 2,1011; 33,5467; 3,3498
train_mask2former_baseline_depth_0_channel_3_sparsity_0,7; acdc_fog; 85,5267; 2,1362; 52,0767; 2,8808; 64,6567; 2,0416
train_mask2former_baseline_depth_0_channel_3_sparsity_0,7; acdc_full; 72,6467; 0,8448; 29,9833; 1,3515; 47,3800; 1,7401
train_mask2former_baseline_depth_0_channel_3_sparsity_0,7; acdc_night; 66,7067; 2,8971; 27,9300; 1,5021; 39,2833; 1,2975
train_mask2former_baseline_depth_0_channel_3_sparsity_0,7; acdc_rain; 84,7367; 0,8721; 43,9700; 1,7365; 56,3100; 1,1800
train_mask2former_baseline_depth_0_channel_3_sparsity_0,7; acdc_snow; 82,1767; 0,2579; 47,3000; 0,9873; 60,5133; 1,2941
train_mask2former_baseline_depth_0_channel_3_sparsity_0,7; cityscapes; 93,2967; 0,1250; 65,9033; 0,5335; 76,3467; 1,0498
train_mask2former_baseline_depth_0_channel_3_sparsity_0,7; dark_zurich; 62,8500; 4,0519; 24,8700; 1,6862; 38,3667; 1,0112
train_mask2former_baseline_depth_0_channel_3_sparsity_0,8; acdc_fog; 81,4333; 2,4970; 46,1033; 3,9856; 62,3000; 2,7329
train_mask2former_baseline_depth_0_channel_3_sparsity_0,8; acdc_full; 68,7000; 2,2515; 23,8133; 1,4168; 38,2600; 0,9207
train_mask2former_baseline_depth_0_channel_3_sparsity_0,8; acdc_night; 66,3667; 3,9166; 26,9867; 1,0660; 37,9367; 1,7491
train_mask2former_baseline_depth_0_channel_3_sparsity_0,8; acdc_rain; 83,7267; 1,6758; 42,2733; 0,6181; 55,9400; 1,2799
train_mask2former_baseline_depth_0_channel_3_sparsity_0,8; acdc_snow; 78,9200; 3,4551; 43,3433; 2,0512; 56,1433; 2,5325
train_mask2former_baseline_depth_0_channel_3_sparsity_0,8; cityscapes; 92,7133; 0,3027; 63,2700; 0,1249; 74,1300; 0,3081
train_mask2former_baseline_depth_0_channel_3_sparsity_0,8; dark_zurich; 62,5200; 5,3237; 24,3133; 2,0593; 36,5300; 1,9210
train_mask2former_baseline_depth_0_channel_3_sparsity_0,9; acdc_fog; 65,1367; 9,5950; 35,5400; 2,6668; 55,1667; 0,5752
train_mask2former_baseline_depth_0_channel_3_sparsity_0,9; acdc_full; 59,8433; 4,4273; 17,0300; 1,1000; 26,9200; 1,0908
train_mask2former_baseline_depth_0_channel_3_sparsity_0,9; acdc_night; 60,1100; 1,7091; 22,9867; 2,0832; 31,9533; 2,8197
train_mask2former_baseline_depth_0_channel_3_sparsity_0,9; acdc_rain; 72,0533; 7,5721; 35,8567; 4,5467; 51,3267; 4,3050
train_mask2former_baseline_depth_0_channel_3_sparsity_0,9; acdc_snow; 63,2733; 6,8323; 32,1867; 1,7694; 47,0067; 1,4979
train_mask2former_baseline_depth_0_channel_3_sparsity_0,9; cityscapes; 91,2067; 0,2550; 57,5467; 1,5132; 69,8067; 2,0007
train_mask2former_baseline_depth_0_channel_3_sparsity_0,9; dark_zurich; 56,3433; 0,7036; 20,5633; 1,4718; 30,8633; 1,5255
