run; test_dataset; aAcc_mean; aAcc_std; mIoU_mean; mIoU_std; mAcc_mean; mAcc_std
train_mask2former_bw_depth_5_channel_3_sparse_percent_based_0,4; acdc_fog; 91,4967; 1,8252; 61,6667; 1,7444; 74,1533; 2,5320
train_mask2former_bw_depth_5_channel_3_sparse_percent_based_0,4; acdc_full; 82,2500; 1,3579; 45,3033; 1,7986; 58,3067; 1,4292
train_mask2former_bw_depth_5_channel_3_sparse_percent_based_0,4; acdc_night; 62,3467; 2,1713; 27,0667; 1,7435; 42,5100; 1,3973
train_mask2former_bw_depth_5_channel_3_sparse_percent_based_0,4; acdc_rain; 89,0633; 1,2186; 46,6867; 2,3454; 62,6433; 4,7619
train_mask2former_bw_depth_5_channel_3_sparse_percent_based_0,4; acdc_snow; 86,7400; 0,5923; 47,9000; 1,0284; 59,2667; 0,8212
train_mask2former_bw_depth_5_channel_3_sparse_percent_based_0,4; cityscapes; 95,5000; 0,0265; 74,0633; 0,0850; 85,2900; 0,8168
train_mask2former_bw_depth_5_channel_3_sparse_percent_based_0,4; dark_zurich; 59,3233; 2,5686; 24,5533; 2,4080; 39,2900; 1,7486
train_mask2former_bw_depth_5_channel_3_sparse_percent_based_0,5; acdc_fog; 90,3600; 2,1203; 62,5833; 4,6230; 75,2667; 4,8842
train_mask2former_bw_depth_5_channel_3_sparse_percent_based_0,5; acdc_full; 80,3967; 1,7630; 45,0667; 2,7439; 58,6433; 3,7816
train_mask2former_bw_depth_5_channel_3_sparse_percent_based_0,5; acdc_night; 59,0067; 1,9545; 24,3367; 0,9339; 38,7933; 2,7052
train_mask2former_bw_depth_5_channel_3_sparse_percent_based_0,5; acdc_rain; 87,6767; 1,2492; 46,4367; 2,8550; 61,7767; 3,3714
train_mask2former_bw_depth_5_channel_3_sparse_percent_based_0,5; acdc_snow; 85,2333; 1,9512; 50,6767; 1,8659; 61,8100; 3,1001
train_mask2former_bw_depth_5_channel_3_sparse_percent_based_0,5; cityscapes; 95,2933; 0,0306; 72,9033; 0,7501; 84,7633; 0,2996
train_mask2former_bw_depth_5_channel_3_sparse_percent_based_0,5; dark_zurich; 55,4500; 2,4610; 22,8100; 2,1417; 36,3267; 2,3559
train_mask2former_bw_depth_5_channel_3_sparse_percent_based_0,6; acdc_fog; 89,9333; 0,1266; 60,2767; 1,5047; 73,8833; 0,6853
