run; test_dataset; aAcc; mIoU; mAcc
train_mask2former_bw_seed_25_depth_5_channel_3_sparsity_0,02; acdc_night; 54,1100; 25,1200; 36,9200
train_mask2former_bw_seed_25_depth_5_channel_3_sparsity_0,02; dark_zurich; 52,0600; 23,1600; 34,7900
train_mask2former_bw_seed_25_depth_5_channel_3_sparsity_0,02; cityscapes; 95,0400; 71,0200; 83,2700
train_mask2former_bw_seed_25_depth_5_channel_3_sparsity_0,02; acdc_rain; 88,8700; 48,5100; 63,6100
train_mask2former_bw_seed_25_depth_5_channel_3_sparsity_0,02; acdc_snow; 86,7700; 47,9100; 58,7200
train_mask2former_bw_seed_25_depth_5_channel_3_sparsity_0,02; acdc_fog; 90,1700; 58,9900; 71,0800
train_mask2former_bw_seed_25_depth_5_channel_3_sparsity_0,02; acdc_full; 79,7700; 44,9800; 55,5700
train_mask2former_bw_seed_25_depth_5_channel_3_sparsity_0,005; acdc_night; 66,9400; 29,3100; 43,7700
train_mask2former_bw_seed_25_depth_5_channel_3_sparsity_0,005; dark_zurich; 64,6400; 26,8200; 41,2600
train_mask2former_bw_seed_25_depth_5_channel_3_sparsity_0,005; cityscapes; 95,6100; 73,5300; 84,5800
train_mask2former_bw_seed_25_depth_5_channel_3_sparsity_0,005; acdc_rain; 90,1500; 49,6100; 66,4500
train_mask2former_bw_seed_25_depth_5_channel_3_sparsity_0,005; acdc_snow; 89,1100; 56,1200; 66,0300
train_mask2former_bw_seed_25_depth_5_channel_3_sparsity_0,005; acdc_fog; 92,7700; 62,2500; 74,4400
train_mask2former_bw_seed_25_depth_5_channel_3_sparsity_0,005; acdc_full; 84,6000; 49,7100; 61,9000
train_mask2former_bw_seed_25_depth_5_channel_3_sparsity_0,0; acdc_night; 62,5100; 29,7600; 45,3100
train_mask2former_bw_seed_25_depth_5_channel_3_sparsity_0,0; dark_zurich; 58,5700; 26,3900; 40,3800
train_mask2former_bw_seed_25_depth_5_channel_3_sparsity_0,0; cityscapes; 95,6800; 74,3600; 85,9300
train_mask2former_bw_seed_25_depth_5_channel_3_sparsity_0,0; acdc_rain; 87,1200; 47,3500; 66,4300
train_mask2former_bw_seed_25_depth_5_channel_3_sparsity_0,0; acdc_snow; 85,0100; 50,4400; 61,2500
train_mask2former_bw_seed_25_depth_5_channel_3_sparsity_0,0; acdc_fog; 90,3700; 60,9600; 74,2100
train_mask2former_bw_seed_25_depth_5_channel_3_sparsity_0,0; acdc_full; 81,1000; 47,8300; 62,3100
train_mask2former_bw_seed_25_depth_5_channel_3_sparsity_0,0075; acdc_night; 61,1700; 28,4400; 43,5000
train_mask2former_bw_seed_25_depth_5_channel_3_sparsity_0,0075; dark_zurich; 56,9800; 26,2300; 39,9900
train_mask2former_bw_seed_25_depth_5_channel_3_sparsity_0,0075; cityscapes; 95,5500; 72,2500; 83,7600
train_mask2former_bw_seed_25_depth_5_channel_3_sparsity_0,0075; acdc_rain; 89,7500; 49,1500; 65,1300
train_mask2former_bw_seed_25_depth_5_channel_3_sparsity_0,0075; acdc_snow; 86,4700; 50,6300; 61,7300
train_mask2former_bw_seed_25_depth_5_channel_3_sparsity_0,0075; acdc_fog; 92,2900; 68,4000; 80,7100
train_mask2former_bw_seed_25_depth_5_channel_3_sparsity_0,0075; acdc_full; 82,2500; 49,0400; 61,9500
train_mask2former_bw_seed_25_depth_5_channel_3_sparsity_0,01; acdc_night; 61,0400; 26,3700; 38,4800
train_mask2former_bw_seed_25_depth_5_channel_3_sparsity_0,01; dark_zurich; 59,0700; 25,4900; 38,7300
train_mask2former_bw_seed_25_depth_5_channel_3_sparsity_0,01; cityscapes; 95,4500; 73,6700; 84,9200
train_mask2former_bw_seed_25_depth_5_channel_3_sparsity_0,01; acdc_rain; 89,3000; 49,6600; 66,2700
train_mask2former_bw_seed_25_depth_5_channel_3_sparsity_0,01; acdc_snow; 87,4400; 49,1700; 59,1300
train_mask2former_bw_seed_25_depth_5_channel_3_sparsity_0,01; acdc_fog; 91,8500; 66,3400; 77,3300
train_mask2former_bw_seed_25_depth_5_channel_3_sparsity_0,01; acdc_full; 82,2400; 47,1300; 58,9700
train_mask2former_bw_seed_42_depth_5_channel_3_sparsity_0,02; acdc_night; 56,9700; 26,1700; 38,7600
train_mask2former_bw_seed_42_depth_5_channel_3_sparsity_0,02; dark_zurich; 53,7400; 23,5200; 35,6200
train_mask2former_bw_seed_42_depth_5_channel_3_sparsity_0,02; cityscapes; 94,8800; 69,0900; 81,3900
train_mask2former_bw_seed_42_depth_5_channel_3_sparsity_0,02; acdc_rain; 88,0500; 45,7800; 60,8000
train_mask2former_bw_seed_42_depth_5_channel_3_sparsity_0,02; acdc_snow; 85,0500; 45,0200; 55,9500
train_mask2former_bw_seed_42_depth_5_channel_3_sparsity_0,02; acdc_fog; 90,4200; 62,8200; 76,3500
train_mask2former_bw_seed_42_depth_5_channel_3_sparsity_0,02; acdc_full; 79,9400; 45,1000; 56,8800
train_mask2former_bw_seed_42_depth_5_channel_3_sparsity_0,0075; acdc_night; 59,4600; 26,3700; 40,3100
train_mask2former_bw_seed_42_depth_5_channel_3_sparsity_0,0075; dark_zurich; 56,2000; 24,4000; 36,9600
train_mask2former_bw_seed_42_depth_5_channel_3_sparsity_0,0075; cityscapes; 95,5500; 73,7300; 84,9100
train_mask2former_bw_seed_42_depth_5_channel_3_sparsity_0,0075; acdc_rain; 87,9000; 47,6900; 64,5100
train_mask2former_bw_seed_42_depth_5_channel_3_sparsity_0,0075; acdc_snow; 84,3600; 46,6100; 60,1300
train_mask2former_bw_seed_42_depth_5_channel_3_sparsity_0,0075; acdc_fog; 91,8500; 61,7200; 74,6100
train_mask2former_bw_seed_42_depth_5_channel_3_sparsity_0,0075; acdc_full; 80,7200; 45,8400; 59,5400
train_mask2former_bw_seed_42_depth_5_channel_3_sparsity_0,01; acdc_night; 60,4900; 25,6600; 40,0700
train_mask2former_bw_seed_42_depth_5_channel_3_sparsity_0,01; dark_zurich; 57,5500; 23,7100; 37,1700
train_mask2former_bw_seed_42_depth_5_channel_3_sparsity_0,01; cityscapes; 95,4600; 73,2200; 84,4700
train_mask2former_bw_seed_42_depth_5_channel_3_sparsity_0,01; acdc_rain; 88,2700; 46,6200; 61,7300
train_mask2former_bw_seed_42_depth_5_channel_3_sparsity_0,01; acdc_snow; 83,6700; 47,8900; 59,5400
train_mask2former_bw_seed_42_depth_5_channel_3_sparsity_0,01; acdc_fog; 90,3200; 58,2000; 71,1100
train_mask2former_bw_seed_42_depth_5_channel_3_sparsity_0,01; acdc_full; 80,5300; 44,1200; 58,7300
train_mask2former_bw_seed_42_depth_5_channel_3_sparsity_0,0; acdc_night; 61,5600; 28,1300; 39,6000
train_mask2former_bw_seed_42_depth_5_channel_3_sparsity_0,0; dark_zurich; 59,1600; 26,0400; 38,4200
train_mask2former_bw_seed_42_depth_5_channel_3_sparsity_0,0; cityscapes; 95,4400; 73,0100; 84,2700
train_mask2former_bw_seed_42_depth_5_channel_3_sparsity_0,0; acdc_rain; 87,0500; 47,1100; 64,4000
train_mask2former_bw_seed_42_depth_5_channel_3_sparsity_0,0; acdc_snow; 83,4200; 47,5800; 59,9600
train_mask2former_bw_seed_42_depth_5_channel_3_sparsity_0,0; acdc_fog; 91,0800; 62,2000; 75,8100
train_mask2former_bw_seed_42_depth_5_channel_3_sparsity_0,0; acdc_full; 80,6300; 46,5200; 58,8600
train_mask2former_bw_seed_42_depth_5_channel_3_sparsity_0,005; acdc_night; 61,0400; 27,1700; 40,7300
train_mask2former_bw_seed_42_depth_5_channel_3_sparsity_0,005; dark_zurich; 57,5400; 25,0700; 37,9700
train_mask2former_bw_seed_42_depth_5_channel_3_sparsity_0,005; cityscapes; 95,6900; 74,3700; 85,0800
train_mask2former_bw_seed_42_depth_5_channel_3_sparsity_0,005; acdc_rain; 87,9100; 44,0400; 58,6600
train_mask2former_bw_seed_42_depth_5_channel_3_sparsity_0,005; acdc_snow; 84,8000; 47,4300; 59,7900
train_mask2former_bw_seed_42_depth_5_channel_3_sparsity_0,005; acdc_fog; 91,8000; 66,4300; 80,2500
train_mask2former_bw_seed_42_depth_5_channel_3_sparsity_0,005; acdc_full; 81,2300; 45,2500; 58,7900
train_mask2former_bw_seed_7_depth_5_channel_3_sparsity_0,0075; acdc_night; 61,6700; 28,7000; 42,4500
train_mask2former_bw_seed_7_depth_5_channel_3_sparsity_0,0075; dark_zurich; 57,5900; 27,0000; 40,7200
train_mask2former_bw_seed_7_depth_5_channel_3_sparsity_0,0075; cityscapes; 95,5800; 73,4600; 84,6200
train_mask2former_bw_seed_7_depth_5_channel_3_sparsity_0,0075; acdc_rain; 88,6600; 45,8800; 60,5500
train_mask2former_bw_seed_7_depth_5_channel_3_sparsity_0,0075; acdc_snow; 83,8400; 49,4100; 61,0100
train_mask2former_bw_seed_7_depth_5_channel_3_sparsity_0,0075; acdc_fog; 92,1100; 65,8400; 79,1200
train_mask2former_bw_seed_7_depth_5_channel_3_sparsity_0,0075; acdc_full; 81,4100; 47,1000; 59,3900
train_mask2former_bw_seed_7_depth_5_channel_3_sparsity_0,02; acdc_night; 61,9800; 28,5300; 43,1700
train_mask2former_bw_seed_7_depth_5_channel_3_sparsity_0,02; dark_zurich; 59,4700; 26,3100; 40,1800
train_mask2former_bw_seed_7_depth_5_channel_3_sparsity_0,02; cityscapes; 95,0800; 71,3300; 83,3500
train_mask2former_bw_seed_7_depth_5_channel_3_sparsity_0,02; acdc_rain; 88,4900; 46,2000; 58,2800
train_mask2former_bw_seed_7_depth_5_channel_3_sparsity_0,02; acdc_snow; 87,0200; 50,1900; 59,8400
train_mask2former_bw_seed_7_depth_5_channel_3_sparsity_0,02; acdc_fog; 91,4400; 60,9500; 72,5300
train_mask2former_bw_seed_7_depth_5_channel_3_sparsity_0,02; acdc_full; 82,0800; 46,9600; 57,8000
train_mask2former_bw_seed_7_depth_5_channel_3_sparsity_0,005; acdc_night; 62,2200; 25,3100; 39,6800
train_mask2former_bw_seed_7_depth_5_channel_3_sparsity_0,005; dark_zurich; 59,2000; 24,7800; 38,7700
train_mask2former_bw_seed_7_depth_5_channel_3_sparsity_0,005; cityscapes; 95,4600; 73,6900; 84,8600
train_mask2former_bw_seed_7_depth_5_channel_3_sparsity_0,005; acdc_rain; 88,4700; 46,7100; 61,5100
train_mask2former_bw_seed_7_depth_5_channel_3_sparsity_0,005; acdc_snow; 86,3100; 52,4400; 63,4600
train_mask2former_bw_seed_7_depth_5_channel_3_sparsity_0,005; acdc_fog; 92,0500; 61,2500; 74,2200
