run; test_dataset; aAcc; mIoU; mAcc
train_upernet_baseline_seed_25_depth_0_channel_3_sparsity_0,6; acdc_night; 48,8900; 12,4400; 18,4100
train_upernet_baseline_seed_25_depth_0_channel_3_sparsity_0,6; dark_zurich; 46,1100; 11,8000; 18,4300
train_upernet_baseline_seed_25_depth_0_channel_3_sparsity_0,6; cityscapes; 82,8600; 42,4900; 53,5300
train_upernet_baseline_seed_25_depth_0_channel_3_sparsity_0,6; acdc_rain; 65,2100; 21,3400; 28,1800
train_upernet_baseline_seed_25_depth_0_channel_3_sparsity_0,6; acdc_snow; 57,4200; 20,5300; 29,3700
train_upernet_baseline_seed_25_depth_0_channel_3_sparsity_0,6; acdc_fog; 65,5400; 25,0400; 32,5000
train_upernet_baseline_seed_25_depth_0_channel_3_sparsity_0,6; acdc_full; 60,9000; 18,2900; 31,9700
train_upernet_baseline_seed_25_depth_0_channel_3_sparsity_0,7; acdc_night; 39,8700; 8,6200; 14,5500
train_upernet_baseline_seed_25_depth_0_channel_3_sparsity_0,7; dark_zurich; 42,7400; 9,7700; 16,0200
train_upernet_baseline_seed_25_depth_0_channel_3_sparsity_0,7; cityscapes; 52,3000; 19,9600; 31,8500
train_upernet_baseline_seed_25_depth_0_channel_3_sparsity_0,7; acdc_rain; 31,9600; 8,8100; 14,1700
train_upernet_baseline_seed_25_depth_0_channel_3_sparsity_0,7; acdc_snow; 36,1600; 12,2300; 18,1600
train_upernet_baseline_seed_25_depth_0_channel_3_sparsity_0,7; acdc_fog; 34,9100; 9,7200; 16,3900
train_upernet_baseline_seed_25_depth_0_channel_3_sparsity_0,7; acdc_full; 53,4300; 15,2500; 26,0300
train_upernet_baseline_seed_25_depth_0_channel_3_sparsity_0,5; acdc_night; 50,7800; 13,6100; 20,3100
train_upernet_baseline_seed_25_depth_0_channel_3_sparsity_0,5; dark_zurich; 47,5400; 13,7100; 21,3200
train_upernet_baseline_seed_25_depth_0_channel_3_sparsity_0,5; cityscapes; 83,8700; 43,3100; 55,8700
train_upernet_baseline_seed_25_depth_0_channel_3_sparsity_0,5; acdc_rain; 62,3500; 19,9000; 26,9600
train_upernet_baseline_seed_25_depth_0_channel_3_sparsity_0,5; acdc_snow; 59,5300; 22,4400; 29,8200
train_upernet_baseline_seed_25_depth_0_channel_3_sparsity_0,5; acdc_fog; 66,5100; 30,3300; 37,9700
train_upernet_baseline_seed_25_depth_0_channel_3_sparsity_0,5; acdc_full; 62,1700; 19,4100; 35,3400
train_upernet_baseline_seed_25_depth_0_channel_3_sparsity_0,9; acdc_night; 50,6200; 9,4600; 15,4300
train_upernet_baseline_seed_25_depth_0_channel_3_sparsity_0,9; dark_zurich; 45,5600; 9,7600; 16,0600
