run; test_dataset; aAcc; mIoU; mAcc
train_upernet_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,9; acdc_night; 37,6400; 12,0300; 19,6800
train_upernet_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,9; dark_zurich; 33,8900; 11,4400; 19,0400
train_upernet_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,9; cityscapes; 88,7300; 49,6100; 60,0500
train_upernet_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,9; acdc_rain; 80,3800; 27,8900; 34,1700
train_upernet_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,9; acdc_snow; 68,9300; 23,6000; 30,6000
train_upernet_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,9; acdc_fog; 79,9200; 33,3100; 41,2700
train_upernet_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,9; acdc_full; 66,4900; 24,1300; 31,1900
train_upernet_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,5; acdc_night; 57,0600; 19,1500; 31,0000
train_upernet_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,5; dark_zurich; 53,2900; 18,5500; 32,2000
train_upernet_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,5; cityscapes; 93,7100; 60,0600; 67,9200
train_upernet_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,5; acdc_rain; 75,5200; 30,5100; 40,1900
train_upernet_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,5; acdc_snow; 67,7600; 28,0900; 37,0300
train_upernet_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,5; acdc_fog; 77,0700; 41,8900; 50,0300
train_upernet_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,5; acdc_full; 69,2600; 29,4500; 38,1000
train_upernet_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,4; acdc_night; 54,2000; 17,6700; 26,8600
train_upernet_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,4; dark_zurich; 50,0400; 16,8000; 27,4500
train_upernet_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,4; cityscapes; 93,3900; 60,1500; 68,4900
train_upernet_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,4; acdc_rain; 78,1200; 30,6800; 39,1900
train_upernet_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,4; acdc_snow; 70,3500; 26,3500; 36,1200
train_upernet_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,4; acdc_fog; 86,5700; 44,9900; 51,7700
train_upernet_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,4; acdc_full; 72,1700; 29,5900; 36,7800
train_upernet_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,7; acdc_night; 55,2700; 17,1800; 27,4800
train_upernet_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,7; dark_zurich; 50,5000; 15,0100; 26,0400
train_upernet_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,7; cityscapes; 93,0500; 60,6100; 69,1900
train_upernet_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,7; acdc_rain; 75,7600; 30,0600; 37,5800
train_upernet_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,7; acdc_snow; 61,1700; 21,8000; 29,4300
train_upernet_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,7; acdc_fog; 76,2000; 40,6200; 48,8600
train_upernet_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,7; acdc_full; 67,0100; 27,4200; 34,8200
train_upernet_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,8; acdc_night; 53,8800; 16,4600; 27,9900
train_upernet_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,8; dark_zurich; 50,0400; 15,5800; 29,2700
train_upernet_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,8; cityscapes; 91,4600; 59,3500; 69,2000
train_upernet_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,8; acdc_rain; 79,6800; 29,6700; 36,5100
train_upernet_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,8; acdc_snow; 68,2400; 22,3700; 28,7400
train_upernet_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,8; acdc_fog; 83,8300; 40,6900; 46,8400
train_upernet_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,8; acdc_full; 71,2700; 26,8700; 34,3400
train_upernet_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,6; acdc_night; 57,4500; 18,6800; 28,9400
train_upernet_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,6; dark_zurich; 53,9400; 17,5500; 27,9700
train_upernet_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,6; cityscapes; 92,6200; 58,6200; 67,6800
train_upernet_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,6; acdc_rain; 73,6800; 31,2000; 40,8200
train_upernet_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,6; acdc_snow; 62,7300; 26,1300; 35,1700
train_upernet_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,6; acdc_fog; 76,3200; 43,0900; 51,8500
train_upernet_bw_seed_25_depth_5_channel_3_sparse_percent_based_0,6; acdc_full; 67,4700; 29,3300; 37,4700
train_upernet_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,5; acdc_night; 56,9500; 17,6900; 29,9000
train_upernet_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,5; dark_zurich; 53,6800; 16,8900; 30,6800
train_upernet_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,5; cityscapes; 93,3500; 58,3000; 66,4600
train_upernet_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,5; acdc_rain; 71,8900; 30,3400; 38,9200
train_upernet_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,5; acdc_snow; 59,4600; 24,6800; 33,4600
train_upernet_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,5; acdc_fog; 76,7300; 41,2100; 49,5800
train_upernet_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,5; acdc_full; 66,1900; 28,1500; 36,5300
train_upernet_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,4; acdc_night; 55,8100; 18,5100; 31,8300
train_upernet_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,4; dark_zurich; 51,9600; 17,9200; 31,8600
train_upernet_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,4; cityscapes; 93,7800; 60,9700; 69,1800
train_upernet_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,4; acdc_rain; 81,6500; 33,0400; 44,0300
train_upernet_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,4; acdc_snow; 73,4000; 28,9400; 40,6500
train_upernet_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,4; acdc_fog; 86,9100; 47,7600; 57,5400
train_upernet_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,4; acdc_full; 74,3000; 31,1500; 41,9700
train_upernet_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,7; acdc_night; 56,2700; 19,9100; 29,6900
train_upernet_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,7; dark_zurich; 53,6400; 18,7500; 29,1600
train_upernet_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,7; cityscapes; 91,8300; 55,7500; 65,0800
train_upernet_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,7; acdc_rain; 80,7700; 28,6500; 34,5200
train_upernet_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,7; acdc_snow; 66,0400; 19,7100; 25,4400
train_upernet_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,7; acdc_fog; 85,4900; 39,9200; 45,5900
train_upernet_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,7; acdc_full; 72,0200; 27,1800; 33,1900
train_upernet_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,6; acdc_night; 59,0100; 18,3200; 30,0100
train_upernet_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,6; dark_zurich; 55,4800; 17,5500; 29,0700
train_upernet_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,6; cityscapes; 92,7500; 57,2900; 66,8100
train_upernet_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,6; acdc_rain; 80,7700; 30,9500; 38,3700
train_upernet_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,6; acdc_snow; 68,5300; 26,2100; 35,4000
train_upernet_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,6; acdc_fog; 84,5900; 44,3800; 51,6400
train_upernet_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,6; acdc_full; 73,1200; 29,6900; 37,1900
train_upernet_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,9; acdc_night; 40,8500; 13,8400; 22,7400
train_upernet_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,9; dark_zurich; 37,9400; 12,2600; 22,6200
train_upernet_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,9; cityscapes; 88,5800; 48,3200; 56,0900
train_upernet_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,9; acdc_rain; 77,7400; 26,6700; 32,8400
train_upernet_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,9; acdc_snow; 70,5100; 23,0500; 29,2500
train_upernet_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,9; acdc_fog; 77,7000; 32,6300; 39,1500
train_upernet_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,9; acdc_full; 66,5000; 24,2600; 30,9300
train_upernet_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,8; acdc_night; 52,0200; 17,1300; 26,5700
train_upernet_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,8; dark_zurich; 48,9000; 16,1900; 26,7600
train_upernet_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,8; cityscapes; 91,9800; 54,8600; 63,6700
train_upernet_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,8; acdc_rain; 83,9500; 32,0700; 39,5700
train_upernet_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,8; acdc_snow; 75,5900; 27,8800; 35,1000
train_upernet_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,8; acdc_fog; 84,3700; 42,3400; 50,1300
train_upernet_bw_seed_42_depth_5_channel_3_sparse_percent_based_0,8; acdc_full; 73,8100; 30,1600; 37,3600
train_upernet_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,8; acdc_night; 45,2400; 14,0700; 22,6300
train_upernet_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,8; dark_zurich; 43,7100; 13,7800; 24,0400
train_upernet_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,8; cityscapes; 91,0900; 54,7300; 65,3400
train_upernet_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,8; acdc_rain; 82,0100; 29,0300; 34,3400
train_upernet_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,8; acdc_snow; 68,8100; 22,0200; 27,3500
train_upernet_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,8; acdc_fog; 86,2600; 39,7900; 45,7500
train_upernet_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,8; acdc_full; 70,3800; 25,7200; 32,2400
train_upernet_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,7; acdc_night; 57,1800; 18,2300; 28,1600
train_upernet_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,7; dark_zurich; 53,0000; 16,7300; 27,8400
train_upernet_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,7; cityscapes; 92,9600; 62,6100; 72,4300
train_upernet_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,7; acdc_rain; 77,5400; 34,2500; 42,7300
train_upernet_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,7; acdc_snow; 56,5800; 24,1900; 33,4000
train_upernet_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,7; acdc_fog; 80,6600; 45,6700; 54,2300
train_upernet_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,7; acdc_full; 67,9200; 30,5600; 38,1000
train_upernet_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,5; acdc_night; 57,8000; 19,2400; 30,3100
train_upernet_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,5; dark_zurich; 54,5500; 19,7800; 32,0600
train_upernet_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,5; cityscapes; 93,5100; 58,6100; 66,2000
train_upernet_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,5; acdc_rain; 79,0800; 31,3600; 39,8100
train_upernet_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,5; acdc_snow; 69,6800; 27,3100; 35,2600
train_upernet_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,5; acdc_fog; 85,6400; 42,4600; 48,6700
train_upernet_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,5; acdc_full; 72,9400; 29,8700; 37,1800
train_upernet_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,6; acdc_night; 58,2500; 17,8400; 28,7900
train_upernet_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,6; dark_zurich; 54,6800; 17,8800; 29,1500
train_upernet_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,6; cityscapes; 93,0000; 57,0700; 64,6700
train_upernet_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,6; acdc_rain; 79,8400; 32,2100; 41,3800
train_upernet_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,6; acdc_snow; 70,1700; 26,9800; 36,9000
train_upernet_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,6; acdc_fog; 83,7700; 42,6200; 50,8500
train_upernet_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,6; acdc_full; 72,9000; 29,5700; 38,0700
train_upernet_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,9; acdc_night; 44,4800; 12,0700; 20,9400
train_upernet_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,9; dark_zurich; 42,3400; 10,9300; 20,1200
train_upernet_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,9; cityscapes; 88,2700; 49,5000; 60,2300
train_upernet_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,9; acdc_rain; 76,4500; 26,4000; 32,6300
train_upernet_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,9; acdc_snow; 68,6900; 25,1400; 32,2900
train_upernet_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,9; acdc_fog; 72,4600; 32,5900; 40,0100
train_upernet_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,9; acdc_full; 65,3500; 24,1300; 31,0500
train_upernet_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,4; acdc_night; 55,4400; 17,2900; 27,2600
train_upernet_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,4; dark_zurich; 50,6600; 16,2800; 27,1700
train_upernet_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,4; cityscapes; 93,8600; 60,1500; 68,2200
train_upernet_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,4; acdc_rain; 80,9600; 32,8500; 39,3900
train_upernet_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,4; acdc_snow; 74,4400; 28,4900; 35,6200
train_upernet_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,4; acdc_fog; 88,9200; 44,9400; 50,5000
train_upernet_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,4; acdc_full; 74,7900; 30,6200; 37,3200
train_upernet_co_seed_25_depth_5_channel_3_sparse_percent_based_0,7; acdc_night; 55,7300; 16,8800; 30,5700
train_upernet_co_seed_25_depth_5_channel_3_sparse_percent_based_0,7; dark_zurich; 51,6700; 15,6100; 30,4400
train_upernet_co_seed_25_depth_5_channel_3_sparse_percent_based_0,7; cityscapes; 94,1600; 61,1900; 70,5600
train_upernet_co_seed_25_depth_5_channel_3_sparse_percent_based_0,7; acdc_rain; 75,3700; 32,5000; 43,1100
train_upernet_co_seed_25_depth_5_channel_3_sparse_percent_based_0,7; acdc_snow; 64,9900; 24,9000; 35,8400
train_upernet_co_seed_25_depth_5_channel_3_sparse_percent_based_0,7; acdc_fog; 84,7600; 45,6400; 55,0900
train_upernet_co_seed_25_depth_5_channel_3_sparse_percent_based_0,7; acdc_full; 70,1000; 29,0900; 39,3100
train_upernet_co_seed_25_depth_5_channel_3_sparse_percent_based_0,9; acdc_night; 54,0100; 16,5100; 26,9100
train_upernet_co_seed_25_depth_5_channel_3_sparse_percent_based_0,9; dark_zurich; 49,3600; 15,3400; 28,1400
train_upernet_co_seed_25_depth_5_channel_3_sparse_percent_based_0,9; cityscapes; 92,7700; 61,5500; 70,5900
train_upernet_co_seed_25_depth_5_channel_3_sparse_percent_based_0,9; acdc_rain; 81,0200; 33,6900; 42,6400
train_upernet_co_seed_25_depth_5_channel_3_sparse_percent_based_0,9; acdc_snow; 71,1600; 28,9800; 39,1200
train_upernet_co_seed_25_depth_5_channel_3_sparse_percent_based_0,9; acdc_fog; 83,0800; 46,9300; 56,5600
train_upernet_co_seed_25_depth_5_channel_3_sparse_percent_based_0,9; acdc_full; 72,1800; 31,4000; 40,0900
train_upernet_co_seed_25_depth_5_channel_3_sparse_percent_based_0,6; acdc_night; 55,4300; 18,0400; 30,6300
train_upernet_co_seed_25_depth_5_channel_3_sparse_percent_based_0,6; dark_zurich; 51,8600; 16,9600; 29,5000
train_upernet_co_seed_25_depth_5_channel_3_sparse_percent_based_0,6; cityscapes; 94,2600; 60,5100; 67,3000
train_upernet_co_seed_25_depth_5_channel_3_sparse_percent_based_0,6; acdc_rain; 80,8300; 33,9900; 43,6600
train_upernet_co_seed_25_depth_5_channel_3_sparse_percent_based_0,6; acdc_snow; 71,6500; 28,3200; 39,4800
train_upernet_co_seed_25_depth_5_channel_3_sparse_percent_based_0,6; acdc_fog; 83,8500; 45,1800; 53,8900
train_upernet_co_seed_25_depth_5_channel_3_sparse_percent_based_0,6; acdc_full; 72,8100; 30,7500; 39,6800
train_upernet_co_seed_25_depth_5_channel_3_sparse_percent_based_0,8; acdc_night; 57,3700; 18,0800; 28,8700
train_upernet_co_seed_25_depth_5_channel_3_sparse_percent_based_0,8; dark_zurich; 53,3600; 16,7800; 28,8700
train_upernet_co_seed_25_depth_5_channel_3_sparse_percent_based_0,8; cityscapes; 93,6300; 59,5100; 67,9700
train_upernet_co_seed_25_depth_5_channel_3_sparse_percent_based_0,8; acdc_rain; 83,6900; 34,1100; 42,7700
train_upernet_co_seed_25_depth_5_channel_3_sparse_percent_based_0,8; acdc_snow; 78,3500; 30,2300; 39,7700
train_upernet_co_seed_25_depth_5_channel_3_sparse_percent_based_0,8; acdc_fog; 88,5000; 45,9900; 53,9000
train_upernet_co_seed_25_depth_5_channel_3_sparse_percent_based_0,8; acdc_full; 76,8200; 31,6800; 40,3100
train_upernet_co_seed_25_depth_5_channel_3_sparse_percent_based_0,5; acdc_night; 51,0000; 16,4000; 29,2200
train_upernet_co_seed_25_depth_5_channel_3_sparse_percent_based_0,5; dark_zurich; 44,7700; 16,3900; 31,2600
train_upernet_co_seed_25_depth_5_channel_3_sparse_percent_based_0,5; cityscapes; 94,8800; 69,1600; 77,4000
train_upernet_co_seed_25_depth_5_channel_3_sparse_percent_based_0,5; acdc_rain; 70,5200; 33,7400; 47,4200
train_upernet_co_seed_25_depth_5_channel_3_sparse_percent_based_0,5; acdc_snow; 62,9600; 25,6300; 38,8400
train_upernet_co_seed_25_depth_5_channel_3_sparse_percent_based_0,5; acdc_fog; 79,1100; 45,9300; 57,2500
train_upernet_co_seed_25_depth_5_channel_3_sparse_percent_based_0,5; acdc_full; 65,7900; 28,7400; 40,7600
train_upernet_co_seed_25_depth_5_channel_3_sparse_percent_based_0,4; acdc_night; 51,4400; 14,7800; 28,7300
train_upernet_co_seed_25_depth_5_channel_3_sparse_percent_based_0,4; dark_zurich; 47,4600; 13,9800; 27,4300
train_upernet_co_seed_25_depth_5_channel_3_sparse_percent_based_0,4; cityscapes; 94,6900; 66,0500; 74,9000
train_upernet_co_seed_25_depth_5_channel_3_sparse_percent_based_0,4; acdc_rain; 82,2500; 36,3100; 48,1500
