run; test_dataset; aAcc; mIoU; mAcc
train_upernet_bw_seed_25_depth_5_channel_3_sparsity_0,0; acdc_night; 53,7800; 19,4700; 30,2200
train_upernet_bw_seed_25_depth_5_channel_3_sparsity_0,0; dark_zurich; 49,8400; 20,0100; 32,4600
train_upernet_bw_seed_25_depth_5_channel_3_sparsity_0,0; cityscapes; 93,7300; 64,5400; 73,0300
train_upernet_bw_seed_25_depth_5_channel_3_sparsity_0,0; acdc_rain; 68,3300; 29,2700; 38,9400
train_upernet_bw_seed_25_depth_5_channel_3_sparsity_0,0; acdc_snow; 60,6300; 26,7300; 38,5700
train_upernet_bw_seed_25_depth_5_channel_3_sparsity_0,0; acdc_fog; 81,6800; 46,6100; 55,0300
train_upernet_bw_seed_25_depth_5_channel_3_sparsity_0,0; acdc_full; 66,0100; 29,9900; 39,4200
train_upernet_bw_seed_42_depth_5_channel_3_sparsity_0,0; acdc_night; 53,3800; 18,2700; 32,0700
train_upernet_bw_seed_42_depth_5_channel_3_sparsity_0,0; dark_zurich; 48,9900; 17,6700; 33,7600
train_upernet_bw_seed_42_depth_5_channel_3_sparsity_0,0; cityscapes; 93,8900; 62,3600; 71,5900
train_upernet_bw_seed_42_depth_5_channel_3_sparsity_0,0; acdc_rain; 64,4000; 28,8000; 43,3800
train_upernet_bw_seed_42_depth_5_channel_3_sparsity_0,0; acdc_snow; 61,5800; 26,8300; 39,7800
train_upernet_bw_seed_42_depth_5_channel_3_sparsity_0,0; acdc_fog; 79,0200; 47,1400; 57,2100
train_upernet_bw_seed_42_depth_5_channel_3_sparsity_0,0; acdc_full; 64,5100; 28,8300; 41,1700
train_upernet_bw_seed_7_depth_5_channel_3_sparsity_0,0; acdc_night; 55,6400; 17,1800; 30,8500
train_upernet_bw_seed_7_depth_5_channel_3_sparsity_0,0; dark_zurich; 51,1800; 16,4200; 30,2200
train_upernet_bw_seed_7_depth_5_channel_3_sparsity_0,0; cityscapes; 93,9300; 61,0000; 69,4800
train_upernet_bw_seed_7_depth_5_channel_3_sparsity_0,0; acdc_rain; 75,5400; 29,8500; 39,7700
train_upernet_bw_seed_7_depth_5_channel_3_sparsity_0,0; acdc_snow; 64,6700; 26,3300; 36,6800
train_upernet_bw_seed_7_depth_5_channel_3_sparsity_0,0; acdc_fog; 85,5800; 45,8200; 54,6000
train_upernet_bw_seed_7_depth_5_channel_3_sparsity_0,0; acdc_full; 70,2500; 28,7300; 39,1800
train_upernet_co_seed_25_depth_5_channel_3_sparsity_0,0; acdc_night; 55,0300; 16,9100; 29,4900
train_upernet_co_seed_25_depth_5_channel_3_sparsity_0,0; dark_zurich; 51,2400; 16,8400; 30,2400
train_upernet_co_seed_25_depth_5_channel_3_sparsity_0,0; cityscapes; 94,4800; 62,8500; 69,9300
train_upernet_co_seed_25_depth_5_channel_3_sparsity_0,0; acdc_rain; 73,7600; 33,7000; 44,2200
train_upernet_co_seed_25_depth_5_channel_3_sparsity_0,0; acdc_snow; 69,7000; 28,3000; 39,9600
train_upernet_co_seed_25_depth_5_channel_3_sparsity_0,0; acdc_fog; 83,9100; 46,4400; 55,4800
train_upernet_co_seed_25_depth_5_channel_3_sparsity_0,0; acdc_full; 70,4800; 30,7400; 40,5400
train_upernet_co_seed_42_depth_5_channel_3_sparsity_0,0; acdc_night; 48,5100; 16,7600; 28,1800
train_upernet_co_seed_42_depth_5_channel_3_sparsity_0,0; dark_zurich; 43,7800; 16,4400; 29,3000
train_upernet_co_seed_42_depth_5_channel_3_sparsity_0,0; cityscapes; 94,6800; 65,3900; 73,0700
train_upernet_co_seed_42_depth_5_channel_3_sparsity_0,0; acdc_rain; 72,5300; 33,4400; 44,7200
train_upernet_co_seed_42_depth_5_channel_3_sparsity_0,0; acdc_snow; 66,7100; 26,6100; 36,8800
train_upernet_co_seed_42_depth_5_channel_3_sparsity_0,0; acdc_fog; 82,1200; 46,4500; 57,0800
train_upernet_co_seed_42_depth_5_channel_3_sparsity_0,0; acdc_full; 67,3200; 29,9400; 39,8600
train_upernet_co_seed_7_depth_5_channel_3_sparsity_0,0; acdc_night; 48,9400; 15,4300; 26,3600
train_upernet_co_seed_7_depth_5_channel_3_sparsity_0,0; dark_zurich; 44,6500; 15,0300; 27,8400
train_upernet_co_seed_7_depth_5_channel_3_sparsity_0,0; cityscapes; 94,7200; 64,7600; 73,3500
train_upernet_co_seed_7_depth_5_channel_3_sparsity_0,0; acdc_rain; 83,0100; 35,6900; 47,5100
train_upernet_co_seed_7_depth_5_channel_3_sparsity_0,0; acdc_snow; 69,6400; 24,8100; 36,9700
train_upernet_co_seed_7_depth_5_channel_3_sparsity_0,0; acdc_fog; 87,3900; 45,4000; 55,3400
train_upernet_co_seed_7_depth_5_channel_3_sparsity_0,0; acdc_full; 72,0700; 28,5400; 39,5600
train_upernet_sc_seed_25_depth_5_channel_3_sparsity_0,0; acdc_night; 49,6100; 13,5800; 28,4500
