run; test_dataset; aAcc_mean; aAcc_std; mIoU_mean; mIoU_std; mAcc_mean; mAcc_std
train_upernet_bw_depth_5_channel_3_sparsity_0,0; acdc_fog; 82,0933; 3,2995; 46,5233; 0,6643; 55,6133; 1,3994
train_upernet_bw_depth_5_channel_3_sparsity_0,0; acdc_full; 66,9233; 2,9770; 29,1833; 0,7004; 39,9233; 1,0863
train_upernet_bw_depth_5_channel_3_sparsity_0,0; acdc_night; 54,2667; 1,2060; 18,3067; 1,1454; 31,0467; 0,9405
train_upernet_bw_depth_5_channel_3_sparsity_0,0; acdc_rain; 69,4233; 5,6499; 29,3067; 0,5260; 40,6967; 2,3606
train_upernet_bw_depth_5_channel_3_sparsity_0,0; acdc_snow; 62,2933; 2,1124; 26,6300; 0,2646; 38,3433; 1,5624
train_upernet_bw_depth_5_channel_3_sparsity_0,0; cityscapes; 93,8500; 0,1058; 62,6333; 1,7858; 71,3667; 1,7855
train_upernet_bw_depth_5_channel_3_sparsity_0,0; dark_zurich; 50,0033; 1,1041; 18,0333; 1,8224; 32,1467; 1,7907
train_upernet_co_depth_5_channel_3_sparsity_0,0; acdc_fog; 84,4733; 2,6798; 46,0967; 0,6034; 55,9667; 0,9667
train_upernet_co_depth_5_channel_3_sparsity_0,0; acdc_full; 69,9567; 2,4179; 29,7400; 1,1136; 39,9867; 0,5021
train_upernet_co_depth_5_channel_3_sparsity_0,0; acdc_night; 50,8267; 3,6465; 16,3667; 0,8146; 28,0100; 1,5719
train_upernet_co_depth_5_channel_3_sparsity_0,0; acdc_rain; 76,4333; 5,7287; 34,2767; 1,2309; 45,4833; 1,7729
train_upernet_co_depth_5_channel_3_sparsity_0,0; acdc_snow; 68,6833; 1,7092; 26,5733; 1,7453; 37,9367; 1,7528
train_upernet_co_depth_5_channel_3_sparsity_0,0; cityscapes; 94,6267; 0,1286; 64,3333; 1,3227; 72,1167; 1,8989
train_upernet_co_depth_5_channel_3_sparsity_0,0; dark_zurich; 46,5567; 4,0791; 16,1033; 0,9508; 29,1267; 1,2094
train_upernet_sc_depth_5_channel_3_sparsity_0,0; acdc_fog; 82,1500; 8,5593; 45,7000; 2,0421; 55,5167; 1,9186
train_upernet_sc_depth_5_channel_3_sparsity_0,0; acdc_full; 67,9133; 6,1237; 28,9700; 2,0966; 39,5400; 1,1850
train_upernet_sc_depth_5_channel_3_sparsity_0,0; acdc_night; 49,0000; 4,0595; 14,6400; 1,3575; 28,3100; 1,0173
train_upernet_sc_depth_5_channel_3_sparsity_0,0; acdc_rain; 73,3600; 5,1864; 33,3300; 0,7000; 44,1667; 0,5443
train_upernet_sc_depth_5_channel_3_sparsity_0,0; acdc_snow; 67,7367; 7,0651; 27,8367; 2,1016; 37,9567; 2,2658
train_upernet_sc_depth_5_channel_3_sparsity_0,0; cityscapes; 94,4667; 0,2013; 63,3667; 2,7970; 72,2567; 2,7970
train_upernet_sc_depth_5_channel_3_sparsity_0,0; dark_zurich; 44,0633; 3,6153; 13,8233; 1,5238; 27,6833; 1,5015
